"SA","season","AnimalID","year","area","nb.reloc"
"BM","CA","2005_car040",2003,4229.50435546875,72
"BM","CA","2005_car041",2003,1708.33808557129,72
"BM","CA","2005_car042",2003,3017.61544821777,76
"BM","CA","2006_car040",2004,1096.95215541992,74
"BM","CA","2006_car042",2004,2418.1627861084,71
"BM","CA","2006_car046",2004,3651.31350336914,78
"BM","CA","2007_car068",2005,4575.56035124512,201
"BM","CA","2007_car069",2005,5458.54540637207,199
"BM","CA","2007_car070",2005,3811.03764157715,234
"BM","CA","2007_car071",2005,2751.70222253418,208
"BM","CA","2007_car074",2005,5120.47931657715,205
"BM","CA","2007_car075",2005,3986.34247700195,184
"BM","CA","2008_car068",2006,2371.22368608398,180
"BM","CA","2008_car069",2006,4945.72999174805,215
"BM","CA","2008_car070",2006,2352.68039836426,239
"BM","CA","2008_car071",2006,1651.89590559082,194
"BM","CA","2008_car074",2006,2949.32780031738,228
"BM","CA","2008_car075",2006,1494.64679956055,208
"BM","CA","2009_car110",2007,3943.67312607422,167
"BM","CA","2009_car111",2007,1510.61858701172,206
"BM","CA","2009_car112",2007,4063.81507092285,87
"BM","CA","2009_car113",2007,1468.35765007324,215
"BM","CA","2009_car114",2007,1650.0641651123,205
"BM","CA","2010_car110",2008,3526.79293701172,132
"BM","CA","2010_car111",2008,1546.96727961426,139
"BM","CA","2010_car113",2008,2670.40628188477,171
"BM","CA","2010_car114",2008,6872.0969498291,175
"BM","CA","2010_car125",2008,3206.53498903809,195
"BM","CA","2011_car141",2009,1989.37725285645,213
"BM","CA","2011_car142",2009,4678.21451337891,215
"BM","CA","2011_car143",2009,3102.52105300293,198
"BM","CA","2011_car146",2009,2187.03346083984,191
"BM","CA","2011_car152",2009,3424.3126034668,209
"BM","CA","2012_car142",2010,495.813527929687,108
"BM","CA","2012_car143",2010,4109.62963637695,209
"BM","CA","2012_car146",2010,4812.66964294434,200
"BM","CA","2012_car158",2010,2168.95768989258,212
"BM","CA","2013_car143",2011,1722.21175390625,204
"BM","CA","2013_car146",2011,1976.9107963623,191
"BM","CA","2013_car158",2011,3605.56386782227,203
"BM","CA","2013_car163",2011,1268.42334284668,101
"BM","CA","2013_car166",2011,2107.66834538574,111
"BM","CA","2014_car143",2012,1126.8679345459,203
"BM","CA","2014_car163",2012,3255.10038591309,127
"BM","CA","2014_car166",2012,1092.93807919922,127
"BM","CA","2015_car163",2013,2175.56253754883,185
"BM","CA","2015_car166",2013,967.440410546875,72
"BM","CA","2015_car175",2013,876.776427026367,44
"BM","CA","2015_car181",2013,1421.76200410156,55
"BM","CA","2015_car182",2013,1783.10521396484,51
"BM","CA","2015_car183",2013,677.254876293945,8
"BM","CA","2015_car188",2013,2476.15513256836,41
"BM","CA","2015_car189",2013,4175.76453757324,44
"BM","CA","2015_car190",2013,1682.84146989746,47
"BM","CA","2016_car175",2014,1769.49810998535,22
"BM","CA","2016_car181",2014,546.251597998047,48
"BM","CA","2016_car182",2014,442.626737963867,44
"BM","CA","2016_car188",2014,1228.67704213867,40
"BM","CA","2016_car189",2014,1318.6660526123,46
"BM","CA","2016_car190",2014,1910.26384387207,37
"BM","CA","2016_car194",2014,844.513066088867,49
"BM","CA","2016_car195",2014,999.817240649414,42
"BM","CA","2016_car196",2014,1760.87370986328,51
"BM","CA","2017_car175",2015,1563.21775524902,43
"BM","CA","2017_car181",2015,2086.52810249023,54
"BM","CA","2017_car182",2015,1658.72594533691,55
"BM","CA","2017_car188",2015,715.965829663086,39
"BM","CA","2017_car189",2015,827.970901953125,35
"BM","CA","2017_car190",2015,2729.19436193848,58
"BM","CA","2017_car194",2015,728.990463598633,40
"BM","CA","2017_car195",2015,1800.67042414551,47
"BM","CA","2017_car196",2015,2648.12016157227,50
"BM","CA","2017_car205",2015,1055.36050478516,44
"BM","CA","2017_car206",2015,1168.01959233398,42
"BM","CA","2018_car181",2016,824.510421655273,37
"BM","CA","2018_car182",2016,1357.80171066895,25
"BM","CA","2018_car188",2016,612.803910083008,21
"BM","CA","2018_car189",2016,1583.43119255371,24
"BM","CA","2018_car190",2016,1015.73610527344,23
"BM","CA","2018_car194",2016,3356.95921928711,46
"BM","CA","2018_car195",2016,3848.5521314209,46
"BM","CA","2018_car196",2016,2689.6512628418,45
"BM","CA","2018_car205",2016,942.903519067383,24
"BM","CA","2018_car206",2016,2216.34675429688,40
"BM","CA","2018_car213",2016,809.471620703125,21
"BM","CA","2018_car214",2016,2190.67712045898,30
"BM","CA","2018_car215",2016,2544.6961954834,24
"BM","CA","2018_car216",2016,886.129099145508,33
"BM","CA","2018_car217",2016,1661.16032893066,35
"BM","CA","2019_18-13983",2017,3864.10653947754,106
"BM","CA","2019_18-13990",2017,4454.34097382813,76
"BM","CA","2019_car205",2017,3861.29998754883,29
"BM","CA","2019_car206",2017,497.65382565918,22
"BM","CA","2019_car213",2017,777.567241357422,21
"BM","CA","2019_car217",2017,2036.62677468262,42
"BM","CA","2020_18-13983",2018,3321.6833010498,105
"BM","CA","2020_19-1756",2018,2413.47557949219,84
"BM","CA","2020_19-1758",2018,3472.30484570313,85
"BM","CA","2020_19-1762",2018,3881.53865146484,85
"BM","CA","2020_car190",2018,2910.45321162109,83
"BM","CA","2020_car194",2018,1962.79582397461,93
"BM","CA","2020_car196",2018,4952.21547841797,99
"BM","CA","2020_car213",2018,1136.43176516113,19
"BM","CA","2020_car217",2018,186.075249414063,13
