"SA","season","AnimalID","year","area","nb.reloc"
"BM","RU","2005_car040",2003,4935.65535197754,73
"BM","RU","2005_car041",2003,1990.5005939209,62
"BM","RU","2005_car042",2003,2840.46395476074,73
"BM","RU","2006_car040",2004,3327.37334453125,64
"BM","RU","2006_car046",2004,363.788028759766,19
"BM","RU","2007_car068",2005,2598.50334262695,199
"BM","RU","2007_car069",2005,8322.54053085937,212
"BM","RU","2007_car070",2005,3467.5974526123,249
"BM","RU","2007_car071",2005,5020.18077648926,203
"BM","RU","2007_car074",2005,3312.49276437988,216
"BM","RU","2007_car075",2005,2840.00288334961,234
"BM","RU","2008_car068",2006,4888.4334251709,167
"BM","RU","2008_car069",2006,2026.06852109375,120
"BM","RU","2008_car070",2006,2417.8427079834,245
"BM","RU","2008_car071",2006,3458.97736210938,159
"BM","RU","2008_car074",2006,4151.23242810059,231
"BM","RU","2008_car075",2006,3131.25672424316,229
"BM","RU","2009_car110",2007,5977.65764882813,145
"BM","RU","2009_car111",2007,2447.66180913086,197
"BM","RU","2009_car112",2007,1332.04112077637,35
"BM","RU","2009_car113",2007,3102.48520593262,203
"BM","RU","2009_car114",2007,3178.46088911133,83
"BM","RU","2010_car110",2008,6807.70390554199,168
"BM","RU","2010_car111",2008,1412.20825129395,53
"BM","RU","2010_car113",2008,2907.25852316895,198
"BM","RU","2010_car114",2008,8251.82083483887,165
"BM","RU","2010_car125",2008,4476.50873200684,168
"BM","RU","2011_car141",2009,2729.74877758789,204
"BM","RU","2011_car142",2009,2750.48600246582,145
"BM","RU","2011_car143",2009,3172.3673668457,172
"BM","RU","2012_car143",2010,2531.23290012207,221
"BM","RU","2012_car146",2010,3137.97626525879,193
"BM","RU","2012_car158",2010,2159.27273112793,201
"BM","RU","2013_car143",2011,2201.08912687988,209
"BM","RU","2013_car146",2011,1014.01360205078,184
"BM","RU","2013_car158",2011,652.930678076172,213
"BM","RU","2013_car163",2011,742.940537158203,61
"BM","RU","2013_car166",2011,1087.9025831543,178
"BM","RU","2014_car143",2012,2704.03165700684,206
"BM","RU","2014_car163",2012,2278.09388828125,339
"BM","RU","2014_car166",2012,5159.86333088379,127
"BM","RU","2015_car163",2013,148.529485644531,9
"BM","RU","2015_car175",2013,956.041369213867,55
"BM","RU","2015_car181",2013,2678.25277404785,59
"BM","RU","2015_car182",2013,3830.16653071289,50
"BM","RU","2015_car188",2013,1383.03235202637,26
"BM","RU","2015_car189",2013,2860.97324533691,51
"BM","RU","2015_car190",2013,1748.22441618652,33
"BM","RU","2016_car175",2014,1284.01860205078,45
"BM","RU","2016_car181",2014,1583.36973879395,38
"BM","RU","2016_car182",2014,2449.79023469238,54
"BM","RU","2016_car188",2014,1402.8901017334,40
"BM","RU","2016_car189",2014,2523.05272526855,46
"BM","RU","2016_car190",2014,2451.39431625977,41
"BM","RU","2016_car194",2014,1863.05616081543,33
"BM","RU","2016_car195",2014,2870.05126274414,49
"BM","RU","2016_car196",2014,2151.15982602539,35
"BM","RU","2017_car175",2015,2013.10852338867,37
"BM","RU","2017_car181",2015,2302.51917397461,52
"BM","RU","2017_car182",2015,1764.00343986816,59
"BM","RU","2017_car188",2015,1799.1637729248,34
"BM","RU","2017_car189",2015,2542.78967751465,48
"BM","RU","2017_car190",2015,334.05874831543,21
"BM","RU","2017_car194",2015,846.943793725586,25
"BM","RU","2017_car195",2015,1889.89860158691,44
"BM","RU","2017_car196",2015,3649.3041543457,41
"BM","RU","2017_car205",2015,3502.93944675293,40
"BM","RU","2017_car206",2015,4888.27174504394,41
"BM","RU","2018_car194",2016,799.400761401367,30
"BM","RU","2018_car195",2016,2387.05330908203,48
"BM","RU","2018_car196",2016,3107.41218354492,57
"BM","RU","2018_car205",2016,719.386948706055,23
"BM","RU","2018_car206",2016,2021.10087717285,47
"BM","RU","2018_car213",2016,897.872872119141,29
"BM","RU","2018_car214",2016,897.008042211914,10
"BM","RU","2018_car216",2016,1465.77785393066,29
"BM","RU","2018_car217",2016,2687.47084436035,47
"BM","RU","2019_18-13983",2017,3640.82806364746,82
"BM","RU","2019_18-13990",2017,3172.97529311523,62
"BM","RU","2019_car205",2017,1582.47217495117,76
"BM","RU","2019_car206",2017,1444.38916708984,69
"BM","RU","2019_car213",2017,1760.71433327637,50
"BM","RU","2019_car217",2017,3277.4296232666,57
"BM","RU","2020_18-13983",2017,2857.10786938477,70
"BM","RU","2020_19-1756",2017,1677.37386804199,17
"BM","RU","2020_19-1758",2018,1990.11202451172,78
"BM","RU","2020_19-1762",2018,1890.38325266113,61
"BM","RU","2020_car190",2018,1552.70091418457,17
"BM","RU","2020_car194",2018,1605.76316323242,32
"BM","RU","2020_car196",2018,1994.82428605957,29
"BM","RU","2020_car213",2018,415.333258349609,45
