"SA","season","AnimalID","year","area","nb.reloc"
"BM","SU","2002_car007",2003,3.78400803222656,5
"BM","SU","2005_car040",2004,4159.60867185059,72
"BM","SU","2005_car041",2004,5956.70396657715,70
"BM","SU","2005_car042",2004,7264.75473149414,71
"BM","SU","2006_car040",2005,4893.06413286133,65
"BM","SU","2006_car042",2005,2675.54823146973,24
"BM","SU","2007_car068",2006,1678.65861652832,207
"BM","SU","2007_car069",2006,2777.30340583496,162
"BM","SU","2007_car070",2006,4308.75109453125,188
"BM","SU","2007_car071",2006,2763.52426335449,179
"BM","SU","2007_car074",2006,3498.52268276367,202
"BM","SU","2007_car075",2006,3324.93393571777,161
"BM","SU","2008_car068",2007,1243.04346955566,198
"BM","SU","2008_car069",2007,1428.26530556641,145
"BM","SU","2008_car070",2007,2981.16092282715,237
"BM","SU","2008_car071",2007,2178.68594284668,171
"BM","SU","2008_car074",2007,2325.64545710449,212
"BM","SU","2008_car075",2007,1932.28034926758,221
"BM","SU","2009_car110",2008,5074.50978271484,117
"BM","SU","2009_car111",2008,345.1182765625,194
"BM","SU","2009_car112",2008,1257.2973057373,30
"BM","SU","2009_car113",2008,3458.61650107422,187
"BM","SU","2009_car114",2008,1991.40485964355,137
"BM","SU","2010_car110",2009,5074.50978271484,125
"BM","SU","2010_car111",2009,345.1182765625,26
"BM","SU","2010_car113",2009,3590.28209677734,148
"BM","SU","2010_car114",2009,2387.41123623047,154
"BM","SU","2010_car125",2009,4737.9475644043,149
"BM","SU","2011_car141",2010,1976.12805683594,210
"BM","SU","2011_car142",2010,3301.58609094238,218
"BM","SU","2011_car143",2010,4615.49073076172,216
"BM","SU","2011_car152",2010,1500.44875559082,29
"BM","SU","2012_car143",2011,1870.66783251953,214
"BM","SU","2012_car146",2011,5090.6898529541,209
"BM","SU","2012_car158",2011,1991.49321394043,218
"BM","SU","2013_car143",2012,1832.8294628418,210
"BM","SU","2013_car146",2012,1146.13838410645,187
"BM","SU","2013_car158",2012,609.267719995117,216
"BM","SU","2013_car163",2012,1284.54298171387,101
"BM","SU","2013_car166",2012,2940.99808996582,159
"BM","SU","2014_car143",2013,1089.16916730957,217
"BM","SU","2014_car163",2013,3260.36062172852,153
"BM","SU","2014_car166",2013,3282.31792924805,104
"BM","SU","2015_car163",2014,2489.53734897461,152
"BM","SU","2015_car175",2014,890.643266552734,33
"BM","SU","2015_car181",2014,1140.39597453613,50
"BM","SU","2015_car182",2014,1720.59523117676,59
"BM","SU","2015_car188",2014,1288.48462216797,45
"BM","SU","2015_car189",2014,1048.62401628418,39
"BM","SU","2015_car190",2014,270.23020246582,16
"BM","SU","2016_car175",2015,736.590024023438,35
"BM","SU","2016_car181",2015,281.471542089844,22
"BM","SU","2016_car182",2015,1075.28254099121,57
"BM","SU","2016_car188",2015,933.970210791016,28
"BM","SU","2016_car189",2015,2893.56372216797,44
"BM","SU","2016_car190",2015,1121.52715102539,25
"BM","SU","2016_car194",2015,1074.94059616699,35
"BM","SU","2016_car195",2015,1489.6946989502,28
"BM","SU","2016_car196",2015,1656.14937883301,40
"BM","SU","2017_car175",2016,1013.17214799805,36
"BM","SU","2017_car181",2016,451.296388012695,40
"BM","SU","2017_car182",2016,930.015011621094,47
"BM","SU","2017_car188",2016,1274.32848745117,32
"BM","SU","2017_car189",2016,1430.79229106445,33
"BM","SU","2017_car190",2016,688.460861010742,23
"BM","SU","2017_car194",2016,800.912118310547,40
"BM","SU","2017_car195",2016,2274.10258198242,35
"BM","SU","2017_car196",2016,2028.35172177734,38
"BM","SU","2017_car205",2016,518.760221850586,23
"BM","SU","2017_car206",2016,511.596787939453,34
"BM","SU","2018_car194",2017,1322.69962373047,27
"BM","SU","2018_car195",2017,3556.3747590332,29
"BM","SU","2018_car196",2017,922.020718115234,20
"BM","SU","2018_car205",2017,986.29801418457,18
"BM","SU","2018_car206",2017,964.855018505859,30
"BM","SU","2018_car213",2017,325.909184570313,18
"BM","SU","2018_car214",2017,386.366137817383,21
"BM","SU","2018_car216",2017,2053.89058549805,43
"BM","SU","2018_car217",2017,2005.504946875,44
"BM","SU","2019_18-13983",2018,4511.81102219238,109
"BM","SU","2019_18-13990",2018,1626.68113752441,56
"BM","SU","2019_car205",2018,774.785226513672,67
"BM","SU","2019_car206",2018,1347.19189628906,78
"BM","SU","2019_car213",2018,551.238974536133,63
"BM","SU","2019_car217",2018,678.16195234375,65
"BM","SU","2020_18-13983",2018,2501.7174152832,75
"BM","SU","2020_19-1756",2018,922.017896166992,10
"BM","SU","2020_19-1758",2019,2443.21982712402,107
"BM","SU","2020_19-1762",2019,2290.38154580078,53
"BM","SU","2020_car190",2019,1320.4276625,22
"BM","SU","2020_car194",2019,1480.77602089844,32
"BM","SU","2020_car196",2019,4317.13677553711,13
"BM","SU","2020_car213",2019,432.539846435547,38
