"SA","season","AnimalID","year","area","nb.reloc"
"BM","CA","car040","2005",4229.50435546875,72
"BM","CA","car041","2005",1708.33808557129,72
"BM","CA","car042","2005",3017.61544821777,76
"BM","CA","car040","2006",1096.95215541992,74
"BM","CA","car042","2006",2418.1627861084,71
"BM","CA","car046","2006",3651.31350336914,78
"BM","CA","car068","2007",4575.56035124512,201
"BM","CA","car069","2007",5458.54540637207,199
"BM","CA","car070","2007",3811.03764157715,234
"BM","CA","car071","2007",2751.70222253418,208
"BM","CA","car074","2007",5120.47931657715,205
"BM","CA","car075","2007",3986.34247700195,184
"BM","CA","car068","2008",2371.22368608398,180
"BM","CA","car069","2008",4945.72999174805,215
"BM","CA","car070","2008",2352.68039836426,239
"BM","CA","car071","2008",1651.89590559082,194
"BM","CA","car074","2008",2949.32780031738,228
"BM","CA","car075","2008",1494.64679956055,208
"BM","CA","car110","2009",3943.67312607422,167
"BM","CA","car111","2009",1510.61858701172,206
"BM","CA","car112","2009",4063.81507092285,87
"BM","CA","car113","2009",1468.35765007324,215
"BM","CA","car114","2009",1650.0641651123,205
"BM","CA","car110","2010",3526.79293701172,132
"BM","CA","car111","2010",1546.96727961426,139
"BM","CA","car113","2010",2670.40628188477,171
"BM","CA","car114","2010",6872.0969498291,175
"BM","CA","car125","2010",3206.53498903809,195
"BM","CA","car141","2011",1989.37725285645,213
"BM","CA","car142","2011",4678.21451337891,215
"BM","CA","car143","2011",3102.52105300293,198
"BM","CA","car146","2011",2187.03346083984,191
"BM","CA","car152","2011",3424.3126034668,209
"BM","CA","car142","2012",495.813527929687,108
"BM","CA","car143","2012",4109.62963637695,209
"BM","CA","car146","2012",4812.66964294434,200
"BM","CA","car158","2012",2168.95768989258,212
"BM","CA","car143","2013",1722.21175390625,204
"BM","CA","car146","2013",1976.9107963623,191
"BM","CA","car158","2013",3605.56386782227,203
"BM","CA","car163","2013",1268.42334284668,101
"BM","CA","car166","2013",2107.66834538574,111
"BM","CA","car143","2014",1126.8679345459,203
"BM","CA","car163","2014",3255.10038591309,127
"BM","CA","car166","2014",1092.93807919922,127
"BM","CA","car163","2015",2175.56253754883,185
"BM","CA","car166","2015",967.440410546875,72
"BM","CA","car175","2015",876.776427026367,44
"BM","CA","car181","2015",1421.76200410156,55
"BM","CA","car182","2015",1783.10521396484,51
"BM","CA","car183","2015",677.254876293945,8
"BM","CA","car188","2015",2476.15513256836,41
"BM","CA","car189","2015",4175.76453757324,44
"BM","CA","car190","2015",1682.84146989746,47
"BM","CA","car175","2016",1769.49810998535,22
"BM","CA","car181","2016",546.251597998047,48
"BM","CA","car182","2016",442.626737963867,44
"BM","CA","car188","2016",1228.67704213867,40
"BM","CA","car189","2016",1318.6660526123,46
"BM","CA","car190","2016",1910.26384387207,37
"BM","CA","car194","2016",844.513066088867,49
"BM","CA","car195","2016",999.817240649414,42
"BM","CA","car196","2016",1760.87370986328,51
"BM","CA","car175","2017",1563.21775524902,43
"BM","CA","car181","2017",2086.52810249023,54
"BM","CA","car182","2017",1658.72594533691,55
"BM","CA","car188","2017",715.965829663086,39
"BM","CA","car189","2017",827.970901953125,35
"BM","CA","car190","2017",2729.19436193848,58
"BM","CA","car194","2017",728.990463598633,40
"BM","CA","car195","2017",1800.67042414551,47
"BM","CA","car196","2017",2648.12016157227,50
"BM","CA","car205","2017",1055.36050478516,44
"BM","CA","car206","2017",1168.01959233398,42
"BM","CA","car181","2018",824.510421655273,37
"BM","CA","car182","2018",1357.80171066895,25
"BM","CA","car188","2018",612.803910083008,21
"BM","CA","car189","2018",1583.43119255371,24
"BM","CA","car190","2018",1015.73610527344,23
"BM","CA","car194","2018",3356.95921928711,46
"BM","CA","car195","2018",3848.5521314209,46
"BM","CA","car196","2018",2689.6512628418,45
"BM","CA","car205","2018",942.903519067383,24
"BM","CA","car206","2018",2216.34675429688,40
"BM","CA","car213","2018",809.471620703125,21
"BM","CA","car214","2018",2190.67712045898,30
"BM","CA","car215","2018",2544.6961954834,24
"BM","CA","car216","2018",886.129099145508,33
"BM","CA","car217","2018",1661.16032893066,35
"BM","CA","18-13983","2019",3864.10653947754,106
"BM","CA","18-13990","2019",4454.34097382813,76
"BM","CA","car205","2019",3861.29998754883,29
"BM","CA","car206","2019",497.65382565918,22
"BM","CA","car213","2019",777.567241357422,21
"BM","CA","car217","2019",2036.62677468262,42
"BM","CA","18-13983","2020",3321.6833010498,105
"BM","CA","19-1756","2020",2413.47557949219,84
"BM","CA","19-1758","2020",3472.30484570313,85
"BM","CA","19-1762","2020",3881.53865146484,85
"BM","CA","car190","2020",2910.45321162109,83
"BM","CA","car194","2020",1962.79582397461,93
"BM","CA","car196","2020",4952.21547841797,99
"BM","CA","car213","2020",1136.43176516113,19
"BM","CA","car217","2020",186.075249414063,13
