"SA","season","AnimalID","year","area","nb.reloc"
"BM","RU","car175","2005",1284.01860205078,73
"BM","RU","car181","2005",1583.36973879395,62
"BM","RU","car182","2005",2449.79023469238,73
"BM","RU","car188","2006",1402.8901017334,64
"BM","RU","car189","2006",2523.05272526855,19
"BM","RU","car190","2007",2451.39431625977,199
"BM","RU","car194","2007",1863.05616081543,212
"BM","RU","car195","2007",2870.05126274414,249
"BM","RU","car196","2007",2151.15982602539,203
"BM","RU","car175","2007",2013.10852338867,216
"BM","RU","car181","2007",2302.51917397461,234
"BM","RU","car182","2008",1764.00343986816,167
"BM","RU","car188","2008",1799.1637729248,120
"BM","RU","car189","2008",2542.78967751465,245
"BM","RU","car190","2008",334.05874831543,159
"BM","RU","car194","2008",846.943793725586,231
"BM","RU","car195","2008",1889.89860158691,229
"BM","RU","car196","2009",3649.3041543457,145
"BM","RU","car205","2009",3502.93944675293,197
"BM","RU","car206","2009",4888.27174504394,35
"BM","RU","car194","2009",799.400761401367,203
"BM","RU","car195","2009",2387.05330908203,83
"BM","RU","car196","2010",3107.41218354492,168
"BM","RU","car205","2010",719.386948706055,53
"BM","RU","car206","2010",2021.10087717285,198
"BM","RU","car213","2010",897.872872119141,165
"BM","RU","car214","2010",897.008042211914,168
"BM","RU","car216","2011",1465.77785393066,204
"BM","RU","car217","2011",2687.47084436035,145
"BM","RU","18-13983","2011",3640.82806364746,172
"BM","RU","18-13990","2012",3172.97529311523,221
"BM","RU","car205","2012",1582.47217495117,193
"BM","RU","car206","2012",1444.38916708984,201
"BM","RU","car213","2013",1760.71433327637,209
"BM","RU","car217","2013",3277.4296232666,184
"BM","RU","18-13983","2013",2857.10786938477,213
"BM","RU","19-1756","2013",1677.37386804199,61
"BM","RU","19-1758","2013",1990.11202451172,178
"BM","RU","19-1762","2014",1890.38325266113,206
"BM","RU","car190","2014",1552.70091418457,339
"BM","RU","car194","2014",1605.76316323242,127
"BM","RU","car196","2015",1994.82428605957,9
"BM","RU","car213","2015",415.333258349609,55
