"id","year","area","nb.reloc"
"car175","2016",1284.01860205078,45
"car181","2016",1583.36973879395,38
"car182","2016",2449.79023469238,54
"car188","2016",1402.8901017334,40
"car189","2016",2523.05272526855,46
"car190","2016",2451.39431625977,41
"car194","2016",1863.05616081543,33
"car195","2016",2870.05126274414,49
"car196","2016",2151.15982602539,35
"car175","2017",2013.10852338867,37
"car181","2017",2302.51917397461,52
"car182","2017",1764.00343986816,59
"car188","2017",1799.1637729248,34
"car189","2017",2542.78967751465,48
"car190","2017",334.05874831543,21
"car194","2017",846.943793725586,25
"car195","2017",1889.89860158691,44
"car196","2017",3649.3041543457,41
"car205","2017",3502.93944675293,40
"car206","2017",4888.27174504394,41
"car194","2018",799.400761401367,30
"car195","2018",2387.05330908203,48
"car196","2018",3107.41218354492,57
"car205","2018",719.386948706055,23
"car206","2018",2021.10087717285,47
"car213","2018",897.872872119141,29
"car214","2018",897.008042211914,10
"car216","2018",1465.77785393066,29
"car217","2018",2687.47084436035,47
"18-13983","2019",3640.82806364746,78
"18-13990","2019",3172.97529311523,61
"car205","2019",1582.47217495117,17
"car206","2019",1444.38916708984,32
"car213","2019",1760.71433327637,29
"car217","2019",3277.4296232666,45
"18-13983","2020",2857.10786938477,82
"19-1756","2020",1677.37386804199,62
"19-1758","2020",1990.11202451172,76
"19-1762","2020",1890.38325266113,69
"car190","2020",1552.70091418457,50
"car194","2020",1605.76316323242,57
"car196","2020",1994.82428605957,70
"car213","2020",415.333258349609,17
