"SA","season","AnimalID","year","area","nb.reloc"
"BM","SU","car007","2002",3.78400803222656,5
"BM","SU","car040","2005",4159.60867185059,72
"BM","SU","car041","2005",5956.70396657715,70
"BM","SU","car042","2005",7264.75473149414,71
"BM","SU","car040","2006",4893.06413286133,65
"BM","SU","car042","2006",2675.54823146973,24
"BM","SU","car068","2007",1678.65861652832,207
"BM","SU","car069","2007",2777.30340583496,162
"BM","SU","car070","2007",4308.75109453125,188
"BM","SU","car071","2007",2763.52426335449,179
"BM","SU","car074","2007",3498.52268276367,202
"BM","SU","car075","2007",3324.93393571777,161
"BM","SU","car068","2008",1243.04346955566,198
"BM","SU","car069","2008",1428.26530556641,145
"BM","SU","car070","2008",2981.16092282715,237
"BM","SU","car071","2008",2178.68594284668,171
"BM","SU","car074","2008",2325.64545710449,212
"BM","SU","car075","2008",1932.28034926758,221
"BM","SU","car110","2009",5067.77723059082,117
"BM","SU","car111","2009",530.967452001953,194
"BM","SU","car112","2009",1257.2973057373,30
"BM","SU","car113","2009",3458.61650107422,187
"BM","SU","car114","2009",1991.40485964355,137
"BM","SU","car110","2010",5074.50978271484,125
"BM","SU","car111","2010",345.1182765625,26
"BM","SU","car113","2010",3590.28209677734,148
"BM","SU","car114","2010",2387.41123623047,154
"BM","SU","car125","2010",4737.9475644043,149
"BM","SU","car141","2011",1976.12805683594,210
"BM","SU","car142","2011",3301.58609094238,218
"BM","SU","car143","2011",4615.49073076172,216
"BM","SU","car152","2011",1500.44875559082,29
"BM","SU","car143","2012",1870.66783251953,214
"BM","SU","car146","2012",5090.6898529541,209
"BM","SU","car158","2012",1991.49321394043,218
"BM","SU","car143","2013",1832.8294628418,210
"BM","SU","car146","2013",1146.13838410645,187
"BM","SU","car158","2013",609.267719995117,216
"BM","SU","car163","2013",1284.54298171387,101
"BM","SU","car166","2013",2940.99808996582,159
"BM","SU","car143","2014",1089.16916730957,217
"BM","SU","car163","2014",3260.36062172852,153
"BM","SU","car166","2014",3282.31792924805,104
"BM","SU","car163","2015",2489.53734897461,152
"BM","SU","car175","2015",890.643266552734,33
"BM","SU","car181","2015",1140.39597453613,50
"BM","SU","car182","2015",1720.59523117676,59
"BM","SU","car188","2015",1288.48462216797,45
"BM","SU","car175","2015",736.590024023438,39
"BM","SU","car181","2015",281.471542089844,16
"BM","SU","car182","2016",1075.28254099121,35
"BM","SU","car188","2016",933.970210791016,22
"BM","SU","car189","2016",2893.56372216797,57
"BM","SU","car175","2016",1013.17214799805,28
"BM","SU","car181","2016",451.296388012695,44
"BM","SU","car182","2016",930.015011621094,25
"BM","SU","car188","2016",1274.32848745117,35
"BM","SU","car189","2016",1430.79229106445,28
"BM","SU","car194","2016",1322.69962373047,40
"BM","SU","car195","2017",3556.3747590332,36
"BM","SU","car196","2017",922.020718115234,40
"BM","SU","car205","2017",986.29801418457,47
"BM","SU","car206","2017",964.855018505859,32
"BM","SU","18-13983","2017",4511.81102219238,33
"BM","SU","18-13990","2017",1626.68113752441,23
"BM","SU","car205","2017",774.785226513672,40
"BM","SU","car206","2017",1347.19189628906,35
"BM","SU","car213","2017",551.238974536133,38
"BM","SU","18-13983","2017",2501.7174152832,23
"BM","SU","19-1756","2017",922.017896166992,34
"BM","SU","19-1758","2018",2443.21982712402,27
"BM","SU","19-1762","2018",2290.38154580078,29
"BM","SU","car190","2018",1320.4276625,20
