"SA","season","AnimalID","year","area","nb.reloc"
"TR","CA","car014","2003",1825.54937780762,286
"TR","CA","car045","2006",5698.02815205078,71
"TR","CA","car046","2006",3651.31350336914,78
"TR","CA","car057","2007",212.722623510742,236
"TR","CA","car058","2007",392.575112988281,193
"TR","CA","car059","2007",2450.73443566895,177
"TR","CA","car057","2008",450.589233544922,223
"TR","CA","car058","2008",121.976592456055,155
"TR","CA","car059","2008",2349.72638210449,139
"TR","CA","car105","2009",2113.45312773437,211
"TR","CA","car106","2009",4591.69533466797,201
"TR","CA","car107","2009",3671.81574890137,142
"TR","CA","car109","2009",90.8538426513672,208
"TR","CA","car106","2010",3246.16146940918,199
"TR","CA","car126","2010",31.6380749755859,211
"TR","CA","car136","2011",1997.46226740723,202
"TR","CA","car137","2011",1041.61957351074,215
"TR","CA","car138","2011",111.441130297852,213
"TR","CA","car139","2011",1130.29546118164,199
"TR","CA","car140","2011",3.76735981445312,201
"TR","CA","car136","2012",2621.04543996582,208
"TR","CA","car137","2012",2185.18617036133,206
"TR","CA","car139","2012",5742.45017736816,208
"TR","CA","car140","2012",453.411948754883,199
"TR","CA","car159","2012",4.52773298339844,200
"TR","CA","car136","2013",2838.89794755859,213
"TR","CA","car159","2013",427.692799609375,33
"TR","CA","car172","2013",686.309201733398,190
"TR","CA","car173","2013",1135.26983688965,177
"TR","CA","car159","2013",399.646364624023,195
"TR","CA","car172","2014",7533.39328801269,180
"TR","CA","car173","2014",1117.26650634766,171
"TR","CA","car172","2014",1652.67652922363,195
"TR","CA","car173","2015",523.493446704102,45
"TR","CA","car192","2015",637.161604956055,50
"TR","CA","car172","2015",443.061604589844,8
"TR","CA","car208","2015",107.429450341797,9
"TR","CA","car208","2015",513.427380297852,55
