"id","year","area","nb.reloc"
"_2003_car014","2003",1825.54937780762,122
"_2006_car045","2006",5698.02815205078,71
"_2006_car046","2006",3651.31350336914,78
"_2007_car057","2006",212.722623510742,114
"_2007_car058","2006",392.575112988281,12
"_2007_car059","2006",2450.73443566895,129
"_2008_car057","2007",450.589233544922,161
"_2008_car058","2007",121.976592456055,9
"_2008_car059","2007",2349.72638210449,139
"_2009_car105","2007",2113.45312773437,44
"_2009_car106","2007",4591.69533466797,201
"_2009_car107","2007",3671.81574890137,79
"_2009_car109","2007",90.8538426513672,16
"_2010_car106","2007",3246.16146940918,199
"_2010_car126","2007",31.6380749755859,11
"_2011_car136","2008",1997.46226740723,202
"_2011_car137","2008",1041.61957351074,197
"_2011_car138","2008",111.441130297852,12
"_2011_car139","2008",1130.29546118164,170
"_2011_car140","2008",3.76735981445312,5
"_2012_car136","2008",2621.04543996582,208
"_2012_car137","2008",2185.18617036133,206
"_2012_car139","2008",5742.45017736816,198
"_2012_car140","2008",453.411948754883,117
"_2012_car159","2008",4.52773298339844,6
"_2013_car136","2008",2838.89794755859,200
"_2013_car159","2008",427.692799609375,11
"_2013_car172","2008",686.309201733398,159
"_2013_car173","2008",1135.26983688965,195
"_2014_car159","2009",399.646364624023,9
"_2014_car172","2009",7533.39328801269,115
"_2014_car173","2009",1117.26650634766,195
"_2015_car172","2009",1652.67652922363,21
"_2015_car173","2009",523.493446704102,8
"_2015_car192","2009",637.161604956055,32
"_2016_car172","2009",443.061604589844,23
"_2017_car208","2009",107.429450341797,5
"_2018_car208","2010",513.427380297852,32
