"SA","season","AnimalID","year","area","nb.reloc"
"TR","RU","car045","2006",1850.9903671875,241
"TR","RU","car046","2006",363.788028759766,19
"TR","RU","car057","2007",1823.60656289062,246
"TR","RU","car058","2007",2780.04883361816,198
"TR","RU","car059","2007",1521.75983552246,231
"TR","RU","car057","2008",1661.32738891602,252
"TR","RU","car058","2008",1392.35412998047,97
"TR","RU","car059","2008",2207.04512563477,213
"TR","RU","car106","2009",8633.12997385254,197
"TR","RU","car107","2009",4009.692121875,119
"TR","RU","car106","2010",6852.87643530273,133
"TR","RU","car126","2010",2056.25812915039,206
"TR","RU","car136","2011",1964.39096137695,165
"TR","RU","car138","2011",2528.03738361816,165
"TR","RU","car139","2011",2481.91447546387,166
"TR","RU","car140","2011",2054.59097324219,157
"TR","RU","car136","2012",3689.91004248047,205
"TR","RU","car137","2012",3477.87784365234,219
"TR","RU","car139","2012",4341.33309995117,208
"TR","RU","car140","2012",2676.00937280273,195
"TR","RU","car159","2012",3450.57413239746,199
"TR","RU","car159","2013",2425.41608015137,211
"TR","RU","car172","2013",2267.43573796387,139
"TR","RU","car173","2013",2474.06121662598,208
"TR","RU","car172","2014",3192.33753444824,285
"TR","RU","car173","2014",2153.0849661377,208
"TR","RU","car159","2015",1583.52805200195,56
"TR","RU","car172","2015",1753.91842272949,56
"TR","RU","car192","2015",2017.2124697998,54
"TR","RU","car172","2016",1569.67016201172,49
"TR","RU","car192","2016",3543.42358730469,57
"TR","RU","car192","2017",5390.51875512695,52
"TR","RU","car207","2017",2246.18729870605,44
"TR","RU","car208","2017",963.66835637207,35
"TR","RU","car207","2018",1962.66443842773,43
"TR","RU","car208","2018",1712.7789003418,53
"TR","RU","car208","2019",3012.11735703125,45
