"SA","season","AnimalID","year","area","nb.reloc"
"TR","SU","car014","2003",627.442904272461,122
"TR","SU","car045","2006",2533.66281062012,73
"TR","SU","car057","2007",1608.90342456055,221
"TR","SU","car058","2007",3172.10455859375,174
"TR","SU","car059","2007",1135.29456918945,181
"TR","SU","car057","2008",1726.59087773437,232
"TR","SU","car058","2008",2118.6826168457,121
"TR","SU","car059","2008",820.091698608398,179
"TR","SU","car105","2009",795.626842773437,105
"TR","SU","car106","2009",5949.05831513672,168
"TR","SU","car107","2009",3143.90910012207,123
"TR","SU","car109","2009",1624.08702451172,142
"TR","SU","car106","2010",7068.59799702148,140
"TR","SU","car126","2010",1565.85125915527,189
"TR","SU","car136","2011",1254.20859645996,213
"TR","SU","car137","2011",1091.90016262207,140
"TR","SU","car138","2011",3800.43112526855,212
"TR","SU","car139","2011",2656.65090778809,208
"TR","SU","car140","2011",3191.52353300781,211
"TR","SU","car136","2012",3064.00547480469,210
"TR","SU","car137","2012",2237.09909628906,199
"TR","SU","car139","2012",1250.71047080078,201
"TR","SU","car140","2012",2369.17538896484,213
"TR","SU","car159","2012",2902.67502653809,217
"TR","SU","car136","2013",1569.29084169922,46
"TR","SU","car159","2013",2058.76354445801,217
"TR","SU","car172","2013",1058.17890432129,158
"TR","SU","car173","2013",2169.24960720215,202
"TR","SU","car159","2014",2439.85929482422,139
"TR","SU","car172","2014",5603.45016276855,379
"TR","SU","car173","2014",2678.52292302246,222
"TR","SU","car159","2015",1316.16689831543,56
"TR","SU","car172","2015",2307.11260100098,57
"TR","SU","car192","2015",1799.52970661621,62
"TR","SU","car172","2016",771.648975390625,51
"TR","SU","car192","2016",832.177970605469,42
"TR","SU","car192","2017",1101.85374997559,52
"TR","SU","car207","2017",253.766158666992,54
"TR","SU","car208","2017",771.832854296875,43
"TR","SU","car192","2018",342.749638696289,11
"TR","SU","car207","2018",436.751872631836,29
"TR","SU","car208","2018",701.604142089844,57
"TR","SU","car207","2019",242.207901855469,35
"TR","SU","car208","2019",1998.50479882813,62
