"SA","season","AnimalID","year","area","nb.reloc"
"TR","WI","car014","2003",616.735192822266,468
"TR","WI","car036","2004",3.77585341796875,5
"TR","WI","car036","2005",8.30304169921875,11
"TR","WI","car045","2005",1363.45297614746,44
"TR","WI","car046","2005",676.46898684082,22
"TR","WI","car036","2006",6.03821411132813,8
"TR","WI","car045","2006",5204.55451374512,669
"TR","WI","car046","2006",3749.58064667969,325
"TR","WI","car036","2007",5.27360415039063,7
"TR","WI","car045","2007",1239.73488146973,521
"TR","WI","car046","2007",191.417408349609,17
"TR","WI","car057","2007",1469.99711679687,528
"TR","WI","car058","2007",2867.96660119629,371
"TR","WI","car059","2007",4084.86846474609,400
"TR","WI","car036","2008",4.53274482421875,6
"TR","WI","car057","2008",1593.55495046387,721
"TR","WI","car058","2008",5626.40320280762,397
"TR","WI","car059","2008",7624.18673278809,393
"TR","WI","car057","2009",1615.25471584473,124
"TR","WI","car105","2009",1991.68228178711,372
"TR","WI","car106","2009",6127.23938659668,511
"TR","WI","car107","2009",5926.55139396973,371
"TR","WI","car109","2009",1510.09788691406,334
"TR","WI","car106","2010",15521.7897128662,492
"TR","WI","car107","2010",3718.34497258301,302
"TR","WI","car126","2010",1037.62455217285,299
"TR","WI","car106","2011",6971.62791018066,218
"TR","WI","car126","2011",1141.91384282227,305
"TR","WI","car136","2011",1556.79327287598,371
"TR","WI","car137","2011",2384.61673447266,241
"TR","WI","car138","2011",4412.68738188477,357
"TR","WI","car139","2011",5339.57179333496,361
"TR","WI","car140","2011",5782.66618190918,345
"TR","WI","car136","2012",3971.31350058594,628
"TR","WI","car137","2012",3440.61735668945,246
"TR","WI","car138","2012",5308.08454130859,405
"TR","WI","car139","2012",13189.6767522461,625
"TR","WI","car140","2012",12048.6120001465,541
"TR","WI","car159","2012",3217.19604304199,248
"TR","WI","car136","2013",4207.22136450195,475
"TR","WI","car137","2013",4208.16458146973,305
"TR","WI","car139","2013",4437.25354255371,340
"TR","WI","car140","2013",4072.09320036621,478
"TR","WI","car159","2013",6443.14888022461,582
"TR","WI","car172","2013",3806.31258513184,172
"TR","WI","car173","2013",3053.67702312012,267
