"id","year","area","nb.reloc"
"car014","2003",616.735192822266,468
"car036","2004",3.77585341796875,5
"car036","2005",8.30304169921875,11
"car045","2005",1363.45297614746,44
"car046","2005",676.46898684082,22
"car036","2006",6.03821411132813,8
"car045","2006",5204.55451374512,669
"car046","2006",3749.58064667969,325
"car036","2007",5.27360415039063,7
"car045","2007",1239.73488146973,521
"car046","2007",191.417408349609,17
"car057","2007",1469.99711679687,528
"car058","2007",2867.96660119629,371
"car059","2007",4084.86846474609,400
"car036","2008",4.53274482421875,6
"car057","2008",1593.55495046387,721
"car058","2008",5626.40320280762,397
"car059","2008",7624.18673278809,393
"car057","2009",1615.25471584473,124
"car105","2009",1991.68228178711,372
"car106","2009",6127.23938659668,511
"car107","2009",5926.55139396973,371
"car109","2009",1510.09788691406,334
"car106","2010",15521.7897128662,492
"car107","2010",3718.34497258301,302
"car126","2010",1037.62455217285,299
"car106","2011",6971.62791018066,218
"car126","2011",1141.91384282227,305
"car136","2011",1556.79327287598,371
"car137","2011",2384.61673447266,241
"car138","2011",4412.68738188477,357
"car139","2011",5339.57179333496,361
"car140","2011",5782.66618190918,345
"car136","2012",3971.31350058594,628
"car137","2012",3440.61735668945,246
"car138","2012",5308.08454130859,405
"car139","2012",13189.6767522461,625
"car140","2012",12048.6120001465,541
"car159","2012",3217.19604304199,248
"car136","2013",4207.22136450195,475
"car137","2013",4208.16458146973,305
"car139","2013",4437.25354255371,340
"car140","2013",4072.09320036621,478
"car159","2013",6443.14888022461,582
"car172","2013",3806.31258513184,172
"car173","2013",3053.67702312012,267
"car159","2014",7256.20981318359,493
"car172","2014",7263.84254360352,447
"car173","2014",3704.16567119141,616
"car159","2015",935.548417382813,94
"car172","2015",6710.44588659668,542
"car173","2015",3043.22175974121,425
"car180","2015",589.327676123047,46
"car192","2015",4262.89949138184,51
"car172","2016",2051.87753754883,136
"car192","2016",4592.83718381348,102
"car192","2017",7275.18591525879,141
"car207","2017",1703.74819804687,54
"car208","2017",2382.97014121094,71
"car192","2018",4010.6465888916,102
"car207","2018",785.424492285156,123
"car208","2018",6603.63565537109,166
"car207","2019",116.258390332031,24
"car208","2019",5076.2243715332,132
"car208","2020",265.389529248047,9
