SA	Season	Job	AnimalID	Year	N
TR	WI	1	car137	2010	241
TR	WI	0	car037	2005	8
TR	WI	0	car058	2007	509
TR	WI	1	car159	2011	109
TR	WI	2	car172	2012	99
TR	WI	2	car208	2017	164
TR	WI	1	car126	2009	163
TR	WI	0	car045	2006	711
TR	WI	2	car192	2015	98
TR	WI	1	car107	2008	289
TR	WI	2	car192	2014	25
TR	WI	1	car109	2008	334
TR	WI	0	car046	2006	54
TR	WI	0	car059	2008	1
TR	WI	0	car036	2005	8
TR	WI	0	car057	2008	287
TR	WI	1	car136	2011	634
TR	WI	2	car207	2018	35
TR	WI	1	car136	2010	232
TR	WI	1	car173	2012	128
TR	WI	2	car208	2016	37
TR	WI	0	car105	2008	372
TR	WI	0	car045	2005	523
TR	WI	0	car106	2009	554
TR	WI	0	car037	2007	5
TR	WI	0	car046	2005	674
TR	WI	1	car126	2010	441
TR	WI	1	car139	2010	236
TR	WI	2	car207	2016	32
TR	WI	0	car036	2004	14
TR	WI	1	car173	2013	623
TR	WI	0	car057	2007	713
TR	WI	2	car172	2015	162
TR	WI	1	car138	2010	240
TR	WI	1	car140	2012	583
TR	WI	1	car139	2011	614
TR	WI	1	car159	2013	619
TR	WI	1	car173	2014	557
TR	WI	2	car172	2013	417
TR	WI	1	car138	2011	522
TR	WI	2	car207	2017	134
TR	WI	2	car208	2019	16
TR	WI	0	car059	2006	265
TR	WI	2	car180	2014	46
TR	WI	0	car036	2003	1
TR	WI	0	car014	2002	468
TR	WI	1	car159	2014	103
TR	WI	1	car140	2011	554
TR	WI	0	car014	2003	2
TR	WI	2	car192	2016	141
TR	WI	2	car172	2014	617
TR	WI	0	car106	2008	384
TR	WI	1	car140	2010	227
TR	WI	2	car192	2017	132
TR	WI	0	car037	2006	8
TR	WI	0	car036	2006	8
TR	WI	0	car037	2004	11
TR	WI	1	car139	2012	476
TR	WI	1	car137	2011	115
TR	WI	0	car106	2010	283
TR	WI	0	car059	2007	527
TR	WI	0	car058	2006	259
TR	WI	2	car208	2018	161
TR	WI	1	car137	2012	436
TR	WI	0	car037	2003	2
TR	WI	1	car136	2012	608
TR	WI	2	car172	2016	2
TR	WI	0	car036	2007	6
TR	WI	1	car159	2012	586
TR	WI	1	car107	2009	384
TR	WI	0	car057	2006	373
TR	CA	0	car037	2005	4
TR	CA	0	car106	2010	199
TR	CA	0	car036	2006	3
TR	CA	1	car137	2012	206
TR	CA	0	car037	2004	4
TR	CA	1	car159	2012	200
TR	CA	2	car192	2017	51
TR	CA	0	car014	2004	1
TR	CA	2	car192	2016	48
TR	CA	2	car192	2018	51
TR	CA	1	car173	2014	195
TR	CA	0	car059	2008	139
TR	CA	1	car159	2015	45
TR	CA	2	car172	2016	40
TR	CA	0	car045	2006	71
TR	CA	2	car180	2015	9
TR	CA	0	car037	2006	2
TR	CA	1	car136	2012	208
TR	CA	2	car172	2015	50
TR	CA	0	car058	2007	193
TR	CA	2	car207	2018	62
TR	CA	0	car037	2007	1
TR	CA	2	car172	2014	171
TR	CA	1	car140	2011	201
TR	CA	0	car036	2007	2
TR	CA	2	car207	2019	42
TR	CA	2	car192	2015	55
TR	CA	2	car208	2017	52
TR	CA	2	car207	2017	55
TR	CA	2	car208	2019	58
TR	CA	1	car136	2011	202
TR	CA	0	car057	2007	236
TR	CA	0	car059	2007	177
TR	CA	0	car036	2005	4
TR	CA	0	car058	2008	155
TR	CA	1	car159	2014	180
TR	CA	2	car172	2013	177
TR	CA	1	car139	2011	199
TR	CA	1	car140	2012	199
TR	CA	1	car139	2012	208
TR	CA	0	car036	2004	4
TR	CA	0	car106	2009	201
TR	CA	1	car107	2009	142
TR	CA	1	car173	2015	8
TR	CA	1	car140	2013	33
TR	CA	0	car046	2006	156
TR	CA	1	car137	2011	215
TR	CA	2	car208	2018	58
TR	CA	0	car014	2003	286
TR	CA	0	car057	2008	223
TR	CA	1	car126	2010	211
TR	CA	1	car173	2013	195
TR	CA	1	car159	2013	190
TR	CA	1	car136	2013	213
TR	CA	1	car109	2009	208
TR	CA	0	car105	2009	211
TR	CA	1	car138	2011	213
TR	SU	1	car137	2012	199
TR	SU	2	car207	2017	54
TR	SU	0	car058	2007	174
TR	SU	0	car037	2006	2
TR	SU	2	car172	2014	379
TR	SU	2	car208	2019	62
TR	SU	0	car105	2009	105
TR	SU	1	car109	2009	142
TR	SU	1	car159	2014	139
TR	SU	2	car192	2015	62
TR	SU	0	car106	2009	168
TR	SU	1	car140	2012	213
TR	SU	2	car172	2016	51
TR	SU	1	car159	2012	217
TR	SU	0	car014	2003	122
TR	SU	1	car136	2011	213
TR	SU	0	car057	2007	221
TR	SU	0	car046	2006	4
TR	SU	2	car172	2015	57
TR	SU	2	car192	2016	42
TR	SU	0	car037	2005	3
TR	SU	1	car139	2011	208
TR	SU	2	car172	2013	158
TR	SU	0	car057	2008	232
TR	SU	0	car037	2004	4
TR	SU	0	car037	2007	2
TR	SU	1	car159	2015	56
TR	SU	1	car173	2014	222
TR	SU	1	car126	2010	189
TR	SU	1	car140	2011	211
TR	SU	1	car136	2012	210
TR	SU	1	car136	2013	46
TR	SU	2	car207	2018	29
TR	SU	2	car192	2017	52
