AnimalID	N	E	season	timestamp	areatag	lag	step	SA	YearSeas	date
car216 	6097354.71	595321.25	CA	02/05/18 3:01	Bullmoose	4141	976.8	BM	2018	02/05/18
car216 	6097504	595535.55	CA	03/05/18 2:01	Bullmoose	1380	345.3	BM	2018	03/05/18
car216 	6098487.87	597791.25	CA	06/05/18 23:00	Bullmoose	5579	1173.9	BM	2018	06/05/18
car216 	6098668.09	597378.02	CA	07/05/18 22:00	Bullmoose	1380	1121.7	BM	2018	07/05/18
car216 	6096134.98	592365.58	CA	11/05/18 17:01	Bullmoose	5461	155.1	BM	2018	11/05/18
car216 	6095217.44	592134.94	CA	12/05/18 16:01	Bullmoose	1380	928.7	BM	2018	12/05/18
car216 	6095184.46	592154.82	CA	14/05/18 14:01	Bullmoose	2760	1413.5	BM	2018	14/05/18
car216 	6095005.11	592094.51	CA	15/05/18 13:01	Bullmoose	1380	698.2	BM	2018	15/05/18
car216 	6095637.88	592011.1	CA	16/05/18 12:00	Bullmoose	1379	444.5	BM	2018	16/05/18
car216 	6095270.04	591986.67	CA	17/05/18 11:00	Bullmoose	1380	1249.4	BM	2018	17/05/18
car216 	6097427.95	591366.61	CA	19/05/18 9:01	Bullmoose	2761	2125.1	BM	2018	19/05/18
car216 	6096923.65	598036.59	CA	24/05/18 4:01	Bullmoose	6900	1207.4	BM	2018	24/05/18
car216 	6097198.87	597896.22	CA	26/05/18 2:01	Bullmoose	2760	2320.2	BM	2018	26/05/18
car216 	6096721.1	598444.1	CA	27/05/18 1:00	Bullmoose	1379	1135.7	BM	2018	27/05/18
car216 	6098193.23	599070.47	CA	31/05/18 21:01	Bullmoose	6961	1399.5	BM	2018	31/05/18
car216 	6100960.01	601323.05	CA	02/06/18 19:00	Bullmoose	2759	379.3	BM	2018	02/06/18
car216 	6100797.9	601537.67	CA	05/06/18 15:01	Bullmoose	4081	435.4	BM	2018	05/06/18
car216 	6100896.15	601452.34	CA	06/06/18 14:01	Bullmoose	1380	209.9	BM	2018	06/06/18
car216 	6100485.43	601992.28	CA	11/06/18 9:00	Bullmoose	6899	437.8	BM	2018	11/06/18
car216 	6100585.72	601996.38	CA	12/06/18 12:00	Bullmoose	1620	1173.6	BM	2018	12/06/18
car216 	6100772.24	601877.06	CA	13/06/18 7:00	Bullmoose	1140	1059.6	BM	2018	13/06/18
car216 	6100795.66	601927.66	CA	14/06/18 6:01	Bullmoose	1381	1889.9	BM	2018	14/06/18
car216 	6101332.8	602049.63	CA	16/06/18 4:02	Bullmoose	2761	442.3	BM	2018	16/06/18
car216 	6101461.06	601816.6	CA	17/06/18 3:00	Bullmoose	1378	188.7	BM	2018	17/06/18
car216 	6101147.42	601242.09	CA	20/06/18 0:00	Bullmoose	4140	261.6	BM	2018	20/06/18
car216 	6100969.25	601239.74	CA	22/06/18 22:02	Bullmoose	4202	1769.5	BM	2018	22/06/18
car216 	6100984.44	601418.37	CA	23/06/18 21:00	Bullmoose	1378	1675.6	BM	2018	23/06/18
car216 	6100911.06	601618.2	CA	24/06/18 20:00	Bullmoose	1380	1161.1	BM	2018	24/06/18
car216 	6100888.22	601593.15	CA	25/06/18 19:00	Bullmoose	1380	2773	BM	2018	25/06/18
car216 	6103121.46	601401.78	CA	26/06/18 17:01	Bullmoose	1321	1583.7	BM	2018	26/06/18
car216 	6103208.3	601303.97	CA	27/06/18 16:00	Bullmoose	1379	232	BM	2018	27/06/18
car216 	6103196.01	601253.14	CA	28/06/18 15:01	Bullmoose	1381	327.7	BM	2018	28/06/18
car216 	6103231.01	600338.74	CA	29/06/18 14:00	Bullmoose	1379	884.8	BM	2018	29/06/18
car217 	6096219.33	591596.05	CA	01/05/18 4:00	Bullmoose	1380	444.5	BM	2018	01/05/18
car217 	6096132.02	591681.02	CA	02/05/18 3:00	Bullmoose	1380	1249.4	BM	2018	02/05/18
car217 	6094547.17	592558.38	CA	03/05/18 2:00	Bullmoose	1380	2125.1	BM	2018	03/05/18
car217 	6097689.9	591111.81	CA	04/05/18 1:00	Bullmoose	1380	1207.4	BM	2018	04/05/18
car217 	6097626.14	591260.22	CA	05/05/18 0:00	Bullmoose	1380	2320.2	BM	2018	05/05/18
car217 	6097858.57	590647.88	CA	06/05/18 23:00	Bullmoose	2820	1135.7	BM	2018	06/05/18
car217 	6102590.38	589037.73	CA	07/05/18 22:00	Bullmoose	1380	1399.5	BM	2018	07/05/18
car217 	6102590.89	589063.27	CA	08/05/18 21:00	Bullmoose	1380	379.3	BM	2018	08/05/18
car217 	6102266.12	588405.27	CA	09/05/18 20:00	Bullmoose	1380	435.4	BM	2018	09/05/18
car217 	6102310.12	588378.84	CA	10/05/18 18:03	Bullmoose	1323	209.9	BM	2018	10/05/18
car217 	6102470.92	589187.06	CA	12/05/18 16:02	Bullmoose	2759	437.8	BM	2018	12/05/18
car217 	6102386.4	588856.51	CA	13/05/18 15:01	Bullmoose	1379	1173.6	BM	2018	13/05/18
car217 	6103012.43	588990.98	CA	14/05/18 14:01	Bullmoose	1380	1059.6	BM	2018	14/05/18
car217 	6102265.11	588354.17	CA	18/05/18 10:00	Bullmoose	5519	1889.9	BM	2018	18/05/18
car217 	6103796.65	586988.96	CA	19/05/18 9:00	Bullmoose	1380	442.3	BM	2018	19/05/18
car217 	6103906.18	586897.41	CA	22/05/18 6:00	Bullmoose	4140	188.7	BM	2018	22/05/18
car217 	6104333.61	587125.37	CA	26/05/18 2:00	Bullmoose	5520	261.6	BM	2018	26/05/18
car217 	6104039.7	586894.81	CA	27/05/18 1:00	Bullmoose	1380	1769.5	BM	2018	27/05/18
car217 	6100486.19	583844.91	CA	02/06/18 19:00	Bullmoose	9720	1675.6	BM	2018	02/06/18
car217 	6104390.49	587188.12	CA	04/06/18 16:01	Bullmoose	2701	1161.1	BM	2018	04/06/18
car217 	6104402.24	587219.82	CA	06/06/18 14:01	Bullmoose	2760	2773	BM	2018	06/06/18
car217 	6104258.59	587273.72	CA	11/06/18 9:00	Bullmoose	6899	1583.7	BM	2018	11/06/18
car217 	6104280.1	587234.99	CA	12/06/18 8:01	Bullmoose	1381	232	BM	2018	12/06/18
car217 	6104322.98	587151.13	CA	13/06/18 7:00	Bullmoose	1379	327.7	BM	2018	13/06/18
car217 	6104295.23	587439.05	CA	16/06/18 4:01	Bullmoose	4141	884.8	BM	2018	16/06/18
car217 	6104216.21	587383.12	CA	17/06/18 3:00	Bullmoose	1379	319.4	BM	2018	17/06/18
car217 	6104374.05	588050.58	CA	18/06/18 2:01	Bullmoose	1381	433.6	BM	2018	18/06/18
car217 	6104340.16	588025.71	CA	19/06/18 1:00	Bullmoose	1379	417.1	BM	2018	19/06/18
car217 	6104373.54	588025.05	CA	20/06/18 0:01	Bullmoose	1381	527	BM	2018	20/06/18
