"AnimalID"	"N"	"E"	"season"	"timestamp"	"areatag"	"lag"	"step"	"SA"	"YearSeas"	"date"
car142 	6109315.1	606346.15	RU	2011-09-01 07:00:00	Bullmoose	840	189.3	BM	2011	2011-09-01
car142 	6109181.68	607280.94	RU	2011-09-01 12:00:00	Bullmoose	300	4132.9	BM	2011	2011-09-01
car142 	6110832.58	606488.5	RU	2011-09-01 21:01:00	Bullmoose	541	2006.8	BM	2011	2011-09-01
car142 	6110968.43	607046.54	RU	2011-09-02 04:01:00	Bullmoose	420	890.5	BM	2011	2011-09-02
car142 	6110787.19	606916.95	RU	2011-09-02 11:00:00	Bullmoose	419	230.9	BM	2011	2011-09-02
car142 	6108982.44	604994.94	RU	2011-09-02 18:00:00	Bullmoose	420	632.6	BM	2011	2011-09-02
car142 	6109232.96	606635.25	RU	2011-09-03 01:00:00	Bullmoose	420	1093.8	BM	2011	2011-09-03
car142 	6109207.96	606520.99	RU	2011-09-03 08:00:00	Bullmoose	420	1305.1	BM	2011	2011-09-03
car142 	6109226.09	606348.28	RU	2011-09-03 15:00:00	Bullmoose	420	459.8	BM	2011	2011-09-03
car142 	6108196.19	607502.53	RU	2011-09-03 22:01:00	Bullmoose	421	675.6	BM	2011	2011-09-03
car142 	6109177.17	606630.2	RU	2011-09-04 05:01:00	Bullmoose	420	1988.5	BM	2011	2011-09-04
car142 	6109261.76	606443.13	RU	2011-09-04 12:00:00	Bullmoose	419	891.6	BM	2011	2011-09-04
car142 	6108721.92	604331.04	RU	2011-09-04 19:00:00	Bullmoose	420	151.4	BM	2011	2011-09-04
car142 	6108487.21	604291.87	RU	2011-09-05 02:02:00	Bullmoose	422	298.6	BM	2011	2011-09-05
car142 	6108677.86	604351.22	RU	2011-09-05 09:01:00	Bullmoose	419	819.9	BM	2011	2011-09-05
car142 	6113899.87	605796.83	RU	2011-09-05 23:00:00	Bullmoose	839	687.4	BM	2011	2011-09-05
car142 	6113373.83	604738.39	RU	2011-09-06 06:00:00	Bullmoose	420	452.8	BM	2011	2011-09-06
car142 	6115021.15	602335.51	RU	2011-09-06 12:00:00	Bullmoose	360	34	BM	2011	2011-09-06
car142 	6112831.31	602959.69	RU	2011-09-06 13:00:00	Bullmoose	60	140.3	BM	2011	2011-09-06
car142 	6115010.02	602335.76	RU	2011-09-06 20:00:00	Bullmoose	420	146.7	BM	2011	2011-09-06
car142 	6113042.35	601973.07	RU	2011-09-07 03:00:00	Bullmoose	420	576.6	BM	2011	2011-09-07
car142 	6112633.91	601638.16	RU	2011-09-07 10:00:00	Bullmoose	420	123.9	BM	2011	2011-09-07
car142 	6112734.02	602120.4	RU	2011-09-08 00:00:00	Bullmoose	840	555.8	BM	2011	2011-09-08
car142 	6112197.6	602030.69	RU	2011-09-08 07:00:00	Bullmoose	420	385.1	BM	2011	2011-09-08
car142 	6112734.03	602120.4	RU	2011-09-08 12:00:00	Bullmoose	300	2767.5	BM	2011	2011-09-08
car142 	6112889.01	603047.61	RU	2011-09-08 14:00:00	Bullmoose	120	730	BM	2011	2011-09-08
car142 	6114765.26	604731.11	RU	2011-09-08 21:02:00	Bullmoose	422	658.8	BM	2011	2011-09-08
car142 	6113323.69	604025.61	RU	2011-09-09 04:00:00	Bullmoose	418	76.6	BM	2011	2011-09-09
car142 	6112631.91	603958.91	RU	2011-09-09 11:00:00	Bullmoose	420	981.4	BM	2011	2011-09-09
car142 	6113323.7	604025.61	RU	2011-09-09 12:00:00	Bullmoose	60	1410.4	BM	2011	2011-09-09
car142 	6113020.59	603917.95	RU	2011-09-09 18:00:00	Bullmoose	360	944	BM	2011	2011-09-09
car142 	6114019.78	605220.33	RU	2011-09-10 01:02:00	Bullmoose	422	1136.5	BM	2011	2011-09-10
car142 	6113257.3	604989.76	RU	2011-09-10 08:00:00	Bullmoose	418	337.6	BM	2011	2011-09-10
car142 	6113484.35	605175.63	RU	2011-09-10 15:01:00	Bullmoose	421	319	BM	2011	2011-09-10
car142 	6113493.56	605564.26	RU	2011-09-10 22:01:00	Bullmoose	420	602	BM	2011	2011-09-10
car142 	6112309.83	603035.53	RU	2011-09-11 05:00:00	Bullmoose	419	280.6	BM	2011	2011-09-11
car142 	6112345.32	602161.2	RU	2011-09-11 12:00:00	Bullmoose	420	789.4	BM	2011	2011-09-11
car142 	6114449.31	601673.15	RU	2011-09-11 19:00:00	Bullmoose	420	1497.6	BM	2011	2011-09-11
car142 	6114549.16	601658.12	RU	2011-09-12 02:01:00	Bullmoose	421	1924	BM	2011	2011-09-12
car142 	6112551.9	601946.06	RU	2011-09-12 09:00:00	Bullmoose	419	3378.6	BM	2011	2011-09-12
car142 	6113173.39	601861.69	RU	2011-09-12 16:00:00	Bullmoose	420	1166.7	BM	2011	2011-09-12
car142 	6114974.3	602234.63	RU	2011-09-12 23:00:00	Bullmoose	420	318.8	BM	2011	2011-09-12
car142 	6114442.56	602348.83	RU	2011-09-13 06:00:00	Bullmoose	420	974	BM	2011	2011-09-13
car142 	6114349.88	602191.64	RU	2011-09-13 13:00:00	Bullmoose	420	1053.2	BM	2011	2011-09-13
car142 	6114210.07	602405.17	RU	2011-09-13 20:01:00	Bullmoose	421	11784.7	BM	2011	2011-09-13
car142 	6114283.14	601708.81	RU	2011-09-14 03:00:00	Bullmoose	419	399.4	BM	2011	2011-09-14
car142 	6112289.42	601665.16	RU	2011-09-14 10:00:00	Bullmoose	420	8241.5	BM	2011	2011-09-14
car142 	6114111.87	601521.53	RU	2011-09-14 17:00:00	Bullmoose	420	8228.9	BM	2011	2011-09-14
car142 	6114081.23	602127.7	RU	2011-09-15 00:00:00	Bullmoose	420	15831.4	BM	2011	2011-09-15
car142 	6112444.62	601636.11	RU	2011-09-15 07:00:00	Bullmoose	420	6013.3	BM	2011	2011-09-15
car142 	6112472.12	601865	RU	2011-09-15 14:00:00	Bullmoose	420	6713.3	BM	2011	2011-09-15
car142 	6110220.1	603173.23	RU	2011-09-15 21:00:00	Bullmoose	420	7736.8	BM	2011	2011-09-15
car142 	6109222.14	606648.27	RU	2011-09-16 04:00:00	Bullmoose	420	64.1	BM	2011	2011-09-16
car142 	6109901.3	608035.57	RU	2011-09-16 11:00:00	Bullmoose	420	1316.9	BM	2011	2011-09-16
car142 	6109549.18	610022.06	RU	2011-09-16 18:00:00	Bullmoose	420	722	BM	2011	2011-09-16
car142 	6109458.43	609954.12	RU	2011-09-17 01:01:00	Bullmoose	421	1660.6	BM	2011	2011-09-17
car142 	6109455.91	609852.09	RU	2011-09-17 08:01:00	Bullmoose	420	266	BM	2011	2011-09-17
car142 	6109358.45	609962.97	RU	2011-09-17 15:00:00	Bullmoose	419	39.7	BM	2011	2011-09-17
car142 	6109385.72	608807.38	RU	2011-09-17 22:00:00	Bullmoose	420	306	BM	2011	2011-09-17
car142 	6109516.83	610514.17	RU	2011-09-18 12:00:00	Bullmoose	840	4506	BM	2011	2011-09-18
car142 	6112725.7	601757.19	RU	2011-09-19 02:00:00	Bullmoose	840	99.6	BM	2011	2011-09-19
car142 	6112662.15	601898.91	RU	2011-09-19 09:02:00	Bullmoose	422	179.3	BM	2011	2011-09-19
car142 	6112670.5	601777.58	RU	2011-09-19 16:00:00	Bullmoose	418	2059.2	BM	2011	2011-09-19
car142 	6112725.99	601769.94	RU	2011-09-19 23:00:00	Bullmoose	420	1991	BM	2011	2011-09-19
car142 	6112400.11	601637.12	RU	2011-09-20 06:01:00	Bullmoose	421	227.6	BM	2011	2011-09-20
car142 	6112566.28	601601.45	RU	2011-09-20 13:01:00	Bullmoose	420	138.4	BM	2011	2011-09-20
car142 	6112365.82	602084.22	RU	2011-09-20 20:00:00	Bullmoose	419	67.6	BM	2011	2011-09-20
car142 	6112547.51	602239.44	RU	2011-09-21 03:00:00	Bullmoose	420	841.2	BM	2011	2011-09-21
car142 	6112458.35	602235.11	RU	2011-09-21 10:00:00	Bullmoose	420	1358.3	BM	2011	2011-09-21
car142 	6112755.25	602075.28	RU	2011-09-21 17:00:00	Bullmoose	420	629.3	BM	2011	2011-09-21
car142 	6109849.85	608209.07	RU	2011-09-22 00:00:00	Bullmoose	420	106.2	BM	2011	2011-09-22
car142 	6110905.75	602494.02	RU	2011-10-09 19:00:00	Bullmoose	25620	814.1	BM	2011	2011-10-09
car142 	6110929.77	602570	RU	2011-10-10 02:01:00	Bullmoose	421	428.2	BM	2011	2011-10-10
car142 	6110357.76	603348.65	RU	2011-10-10 09:03:00	Bullmoose	422	420.7	BM	2011	2011-10-10
car142 	6110788.15	603185.58	RU	2011-10-10 16:02:00	Bullmoose	419	38.4	BM	2011	2011-10-10
car142 	6110747.34	603345.98	RU	2011-10-10 23:00:00	Bullmoose	418	2395.4	BM	2011	2011-10-10
car142 	6110446.77	603346.58	RU	2011-10-11 06:00:00	Bullmoose	420	22.3	BM	2011	2011-10-11
car142 	6110042.96	603215.61	RU	2011-10-11 13:01:00	Bullmoose	421	133.2	BM	2011	2011-10-11
car142 	6110156.79	602842.98	RU	2011-10-11 20:01:00	Bullmoose	420	123.9	BM	2011	2011-10-11
car142 	6110088.85	602793.52	RU	2011-10-12 03:00:00	Bullmoose	419	2018.8	BM	2011	2011-10-12
car142 	6110079.79	602883.04	RU	2011-10-12 10:00:00	Bullmoose	420	2074.6	BM	2011	2011-10-12
car142 	6109888.84	601841.22	RU	2011-10-12 12:00:00	Bullmoose	120	2161.8	BM	2011	2011-10-12
