"AnimalID"	"N"	"E"	"season"	"timestamp"	"areatag"	"lag"	"step"	"SA"	"YearSeas"	"date"
car007	6105839.37	577016.03	BM	2002-07-02 19:00:00	Bullmoose	11520	370.9	data	2002	2002-07-02
car007	6105633.02	577951.62	BM	2002-07-08 19:00:00	Bullmoose	8640	370.3	data	2002	2002-07-08
car007	6105757.2	588195.65	BM	2002-07-22 19:00:00	Bullmoose	20160	1658.6	data	2002	2002-07-22
car007	6105815.85	581938.2	BM	2002-08-11 19:00:00	Bullmoose	28800	475.8	data	2002	2002-08-11
car007	6107344.63	586268.81	BM	2002-08-23 19:00:00	Bullmoose	17280	25.6	data	2002	2002-08-23
car007	6106487.77	585704.54	BM	2003-07-06 21:08:00	Bullmoose	24465	749.8	data	2003	2003-07-06
car007	6104242.12	584687.6	BM	2003-07-31 23:22:00	Bullmoose	36134	659	data	2003	2003-07-31
car007	6106196.58	575120.53	BM	2003-08-22 19:30:00	Bullmoose	31448	160.7	data	2003	2003-08-22
car007	6103883.41	577190.31	BM	2004-07-14 19:42:00	Bullmoose	20042	1103.7	data	2004	2004-07-14
car007	6106412.59	585846.41	BM	2004-07-28 12:00:00	Bullmoose	19698	573.2	data	2004	2004-07-28
car007	6106557.15	581694.79	BM	2004-08-11 21:25:00	Bullmoose	20725	1341.8	data	2004	2004-08-11
car007	6105684.91	585630.6	BM	2004-08-25 18:48:00	Bullmoose	20003	845.2	data	2004	2004-08-25
car007	6101888.99	584451.13	BM	2005-07-21 19:00:00	Bullmoose	33120	442.3	data	2005	2005-07-21
car007	6097747.67	594430.19	BM	2005-08-10 12:00:00	Bullmoose	28380	188.7	data	2005	2005-08-10
car007	6108202.56	605440.92	BM	2005-08-24 22:10:00	Bullmoose	20770	261.6	data	2005	2005-08-24
car007	6097530.36	596245.01	BM	2006-07-16 12:00:00	Bullmoose	67260	160.4	data	2006	2006-07-16
car007	6109347.79	578422.45	BM	2006-08-16 19:00:00	Bullmoose	45060	602.1	data	2006	2006-08-16
car007	6105216.75	577697.14	BM	2007-07-07 17:02:00	Bullmoose	18604	255.9	data	2007	2007-07-07
car007	6102491.7	588554.13	BM	2007-07-28 22:41:00	Bullmoose	30579	427.3	data	2007	2007-07-28
car012	6103324.7	594957.55	BM	2003-07-06 20:55:00	Bullmoose	25015	581.6	data	2003	2003-07-06
car012	6103539.05	597156.86	BM	2003-07-31 23:36:00	Bullmoose	36161	984.2	data	2003	2003-07-31
car012	6103382.54	604513.58	BM	2003-08-22 19:55:00	Bullmoose	31459	2407.6	data	2003	2003-08-22
car012	6106206.82	596977.46	BM	2004-07-01 15:19:00	Bullmoose	1044	567.9	data	2004	2004-07-01
car012	6105434.11	597786.06	BM	2004-07-04 11:05:00	Bullmoose	4066	1228.3	data	2004	2004-07-04
car012	6104337.01	601495.51	BM	2004-07-07 07:12:00	Bullmoose	4087	415.5	data	2004	2004-07-07
car012	6104666.34	600306.46	BM	2004-07-08 12:00:00	Bullmoose	1728	353.8	data	2004	2004-07-08
car012	6105302.8	599896.23	BM	2004-07-10 12:00:00	Bullmoose	2880	556.6	data	2004	2004-07-10
car012	6104937.05	599968.28	BM	2004-07-11 11:05:00	Bullmoose	1385	224.5	data	2004	2004-07-11
car012	6104992.11	599941.5	BM	2004-07-12 07:03:00	Bullmoose	1198	160.9	data	2004	2004-07-12
car012	6105005.08	599526.11	BM	2004-07-13 03:05:00	Bullmoose	1202	378.7	data	2004	2004-07-13
car012	6105480.72	597880.82	BM	2004-07-14 19:06:00	Bullmoose	2401	744	data	2004	2004-07-14
car012	6105459.59	597932.36	BM	2004-07-15 12:00:00	Bullmoose	1014	607.5	data	2004	2004-07-15
car012	6105576.65	596665.52	BM	2004-07-16 11:03:00	Bullmoose	1383	1789.8	data	2004	2004-07-16
car012	6104875.45	600199.58	BM	2004-07-17 07:03:00	Bullmoose	1200	1492.9	data	2004	2004-07-17
car012	6105138.47	600014.86	BM	2004-07-18 03:05:00	Bullmoose	1202	3379.1	data	2004	2004-07-18
car012	6103612.56	604827.62	BM	2004-07-20 15:04:00	Bullmoose	3599	335.4	data	2004	2004-07-20
car012	6103555.88	603832.32	BM	2004-07-21 11:03:00	Bullmoose	1199	460.2	data	2004	2004-07-21
car012	6104433.01	601799.91	BM	2004-07-22 07:03:00	Bullmoose	1200	919.6	data	2004	2004-07-22
car012	6106433.3	602616.15	BM	2004-07-23 03:04:00	Bullmoose	1201	157.2	data	2004	2004-07-23
car012	6105991.99	595794.61	BM	2004-07-25 15:04:00	Bullmoose	3600	935.6	data	2004	2004-07-25
car012	6105905.15	597437.34	BM	2004-07-28 18:51:00	Bullmoose	4547	553.9	data	2004	2004-07-28
car012	6105635.09	597813.58	BM	2004-07-29 12:00:00	Bullmoose	1029	961.7	data	2004	2004-07-29
car012	6105744.8	596719.34	BM	2004-08-01 07:05:00	Bullmoose	4025	162.1	data	2004	2004-08-01
car012	6105366.51	597749.23	BM	2004-08-04 03:13:00	Bullmoose	4088	1019.1	data	2004	2004-08-04
car012	6105182.47	596967.81	BM	2004-08-06 12:00:00	Bullmoose	3407	816.8	data	2004	2004-08-06
car012	6105327.25	596971.05	BM	2004-08-07 11:04:00	Bullmoose	1384	1055.9	data	2004	2004-08-07
car012	6105461.05	596980.91	BM	2004-08-08 07:03:00	Bullmoose	1199	641.6	data	2004	2004-08-08
car012	6105167.42	599816.24	BM	2004-08-09 23:05:00	Bullmoose	2402	2299.5	data	2004	2004-08-09
car012	6105374.11	599600.89	BM	2004-08-11 21:15:00	Bullmoose	2770	1262.7	data	2004	2004-08-11
car012	6104719.67	600203.08	BM	2004-08-12 11:03:00	Bullmoose	828	537.2	data	2004	2004-08-12
car012	6106496.1	602442.32	BM	2004-08-15 12:00:00	Bullmoose	4377	229.9	data	2004	2004-08-15
car012	6104859.47	601949.85	BM	2004-08-17 14:05:00	Bullmoose	3005	227.2	data	2004	2004-08-17
car012	6104131.13	602713.85	BM	2004-08-18 10:03:00	Bullmoose	1198	1908.8	data	2004	2004-08-18
car012	6104730.71	603127.97	BM	2004-08-19 06:03:00	Bullmoose	1200	825.4	data	2004	2004-08-19
car012	6104799.02	602711.25	BM	2004-08-20 22:05:00	Bullmoose	2402	1373.1	data	2004	2004-08-20
car012	6104668.09	603308.25	BM	2004-08-21 18:03:00	Bullmoose	1198	443.1	data	2004	2004-08-21
car012	6104056.74	602383.4	BM	2004-08-24 06:05:00	Bullmoose	3602	315.8	data	2004	2004-08-24
car012	6104805.31	601037.79	BM	2004-08-25 12:00:00	Bullmoose	1795	251.1	data	2004	2004-08-25
car012	6104586.69	601215.19	BM	2004-08-25 22:05:00	Bullmoose	605	476.3	data	2004	2004-08-25
car012	6104485.99	602169.16	BM	2004-08-28 10:04:00	Bullmoose	3599	349.1	data	2004	2004-08-28
car012	6104656.52	603289.36	BM	2004-08-30 02:03:00	Bullmoose	2399	391.4	data	2004	2004-08-30
car012	6105807.58	600561.74	BM	2004-08-30 22:03:00	Bullmoose	1200	586.2	data	2004	2004-08-30
car038	6081707.91	583805.56	BM	2004-07-14 18:22:00	Bullmoose	19883	475.8	data	2004	2004-07-14
car038	6080168.89	579975.6	BM	2004-07-28 17:41:00	Bullmoose	20119	25.6	data	2004	2004-07-28
car038	6078295.71	578525.22	BM	2004-08-11 19:55:00	Bullmoose	20294	232.6	data	2004	2004-08-11
car038	6073510	581052.04	BM	2004-08-25 12:00:00	Bullmoose	19685	682.1	data	2004	2004-08-25
car038	6078585.79	580453.33	BM	2005-07-21 19:00:00	Bullmoose	33120	1300.5	data	2005	2005-07-21
car038	6076028.29	584830.43	BM	2005-08-10 19:15:00	Bullmoose	28815	82	data	2005	2005-08-10
car038	6081678.89	577862.87	BM	2005-08-24 20:53:00	Bullmoose	20258	434.7	data	2005	2005-08-24
car038	6081643.3	582722.06	BM	2006-07-16 19:00:00	Bullmoose	31680	185.2	data	2006	2006-07-16
car038	6081570.8	578686.27	BM	2006-08-16 19:00:00	Bullmoose	44640	385.8	data	2006	2006-08-16
car040	6106127.18	580700.5	BM	2005-07-01 11:03:00	Bullmoose	1260	5843.4	data	2005	2005-07-01
car040	6104289.65	584258.83	BM	2005-07-02 06:04:00	Bullmoose	1141	21829.5	data	2005	2005-07-02
car040	6104135.56	584351.15	BM	2005-07-03 02:03:00	Bullmoose	1199	7195.3	data	2005	2005-07-03
car040	6103416.6	582812.63	BM	2005-07-03 22:03:00	Bullmoose	1200	20609.1	data	2005	2005-07-03
car040	6103254.57	583077.52	BM	2005-07-04 18:03:00	Bullmoose	1200	12980	data	2005	2005-07-04
car040	6103186.14	582989.37	BM	2005-07-05 14:03:00	Bullmoose	1200	14574.5	data	2005	2005-07-05
car040	6103415.89	582774.32	BM	2005-07-06 11:03:00	Bullmoose	1260	255.9	data	2005	2005-07-06
car040	6106587.49	581528.29	BM	2005-07-08 02:03:00	Bullmoose	2340	427.3	data	2005	2005-07-08
car040	6109364.66	578747.45	BM	2005-07-08 12:00:00	Bullmoose	597	4474.9	data	2005	2005-07-08
car040	6109451.99	578650.23	BM	2005-07-09 12:00:00	Bullmoose	1440	174.2	data	2005	2005-07-09
car040	6110260.9	578444.63	BM	2005-07-10 14:04:00	Bullmoose	1564	193.6	data	2005	2005-07-10
car040	6109329.03	578620.51	BM	2005-07-11 10:05:00	Bullmoose	1201	382.8	data	2005	2005-07-11
car040	6109684.71	579220.14	BM	2005-07-12 07:03:00	Bullmoose	1258	1697.8	data	2005	2005-07-12
car040	6107236.25	581701.49	BM	2005-07-12 12:00:00	Bullmoose	297	1201.4	data	2005	2005-07-12
car040	6104612.4	583665.25	BM	2005-07-14 12:00:00	Bullmoose	2880	2320.6	data	2005	2005-07-14
car040	6104500.46	584222.92	BM	2005-07-15 14:03:00	Bullmoose	1563	1693.4	data	2005	2005-07-15
car040	6104697.25	584034.02	BM	2005-07-16 10:03:00	Bullmoose	1200	2000.6	data	2005	2005-07-16
car040	6107866.89	580267.02	BM	2005-07-17 06:05:00	Bullmoose	1202	4702.2	data	2005	2005-07-17
car040	6109769.34	577707.08	BM	2005-07-18 02:03:00	Bullmoose	1198	1945.7	data	2005	2005-07-18
car040	6109921.81	578150.85	BM	2005-07-18 22:04:00	Bullmoose	1201	972.9	data	2005	2005-07-18
car040	6109771.01	577802.72	BM	2005-07-19 12:00:00	Bullmoose	836	828.9	data	2005	2005-07-19
car040	6109825.37	578363.01	BM	2005-07-20 15:05:00	Bullmoose	1625	340.8	data	2005	2005-07-20
car040	6108026.01	580449.18	BM	2005-07-21 19:00:00	Bullmoose	1675	12233.2	data	2005	2005-07-21
car040	6107910.71	580227.94	BM	2005-07-22 06:04:00	Bullmoose	664	10214	data	2005	2005-07-22
car040	6108244.12	580815.3	BM	2005-07-23 02:04:00	Bullmoose	1200	844	data	2005	2005-07-23
car040	6107710.42	580231.55	BM	2005-07-23 12:00:00	Bullmoose	596	541.4	data	2005	2005-07-23
car040	6108235.68	579105.56	BM	2005-07-24 18:03:00	Bullmoose	1803	905.7	data	2005	2005-07-24
car040	6107277.51	579677.77	BM	2005-07-25 14:03:00	Bullmoose	1200	759.7	data	2005	2005-07-25
car040	6107410.74	580894.23	BM	2005-07-26 10:03:00	Bullmoose	1200	125.1	data	2005	2005-07-26
car040	6110226.45	577750.12	BM	2005-07-27 06:04:00	Bullmoose	1201	472.6	data	2005	2005-07-27
car040	6110079.13	577599.64	BM	2005-07-28 02:05:00	Bullmoose	1201	235.1	data	2005	2005-07-28
car040	6109588.86	577569.91	BM	2005-07-28 22:04:00	Bullmoose	1199	56	data	2005	2005-07-28
car040	6109761.56	577898.55	BM	2005-07-29 18:05:00	Bullmoose	1201	38.4	data	2005	2005-07-29
car040	6107856.3	578423.19	BM	2005-07-30 14:03:00	Bullmoose	1198	704.7	data	2005	2005-07-30
car040	6107369.8	579235.8	BM	2005-07-31 10:03:00	Bullmoose	1200	764.1	data	2005	2005-07-31
car040	6109970.08	577729.09	BM	2005-08-01 06:03:00	Bullmoose	1200	679.2	data	2005	2005-08-01
car040	6109808.75	578050.79	BM	2005-08-02 02:04:00	Bullmoose	1201	147.3	data	2005	2005-08-02
car040	6107271.52	578082.5	BM	2005-08-02 22:03:00	Bullmoose	1199	94.4	data	2005	2005-08-02
car040	6104811.29	581177.67	BM	2005-08-03 18:03:00	Bullmoose	1200	155.2	data	2005	2005-08-03
