"AnimalID"	"N"	"E"	"season"	"timestamp"	"areatag"	"lag"	"step"	"SA"	"YearSeas"	"date"
car143 	6110445.79	604258.77	WI	2011-02-21 16:00:00	Bullmoose	420	4416.3	BM	2010	2011-02-21
car143 	6109732.89	603765.08	WI	2011-02-21 23:00:00	Bullmoose	420	1137.2	BM	2010	2011-02-21
car143 	6110132.86	603251.8	WI	2011-02-22 06:00:00	Bullmoose	420	1117.1	BM	2010	2011-02-22
car143 	6110634.89	603297.56	WI	2011-02-22 13:00:00	Bullmoose	420	370.9	BM	2010	2011-02-22
car143 	6111116.15	603407.57	WI	2011-02-22 20:00:00	Bullmoose	420	370.3	BM	2010	2011-02-22
car143 	6112016.43	604298.49	WI	2011-02-23 10:00:00	Bullmoose	840	1658.6	BM	2010	2011-02-23
car143 	6112014.49	604215.64	WI	2011-02-23 17:00:00	Bullmoose	420	475.8	BM	2010	2011-02-23
car143 	6112402.82	604633.74	WI	2011-02-24 07:00:00	Bullmoose	840	25.6	BM	2010	2011-02-24
car143 	6112282.82	604738.58	WI	2011-02-24 12:00:00	Bullmoose	300	232.6	BM	2010	2011-02-24
car143 	6112381.01	604653.38	WI	2011-02-24 14:00:00	Bullmoose	120	682.1	BM	2010	2011-02-24
car143 	6112390.79	604595.77	WI	2011-02-24 21:00:00	Bullmoose	420	320	BM	2010	2011-02-24
car143 	6112282.97	604744.95	WI	2011-02-25 04:00:00	Bullmoose	420	1740	BM	2010	2011-02-25
car143 	6112444.18	604498.87	WI	2011-02-25 12:00:00	Bullmoose	480	1858.5	BM	2010	2011-02-25
car143 	6112433.05	604499.13	WI	2011-02-25 18:00:00	Bullmoose	360	2517.9	BM	2010	2011-02-25
car143 	6113301.37	604497.86	WI	2011-02-26 01:00:00	Bullmoose	420	1439.2	BM	2010	2011-02-26
car143 	6113292.04	604574.58	WI	2011-02-26 15:00:00	Bullmoose	840	1427.4	BM	2010	2011-02-26
car143 	6113376.23	604840.33	WI	2011-02-26 22:00:00	Bullmoose	420	1301.4	BM	2010	2011-02-26
car143 	6113837.91	604115.56	WI	2011-02-27 05:00:00	Bullmoose	420	1202.7	BM	2010	2011-02-27
car143 	6114277.9	603888.57	WI	2011-02-27 12:00:00	Bullmoose	420	603.4	BM	2010	2011-02-27
car143 	6114165.45	603840.21	WI	2011-02-28 02:00:00	Bullmoose	840	33.7	BM	2010	2011-02-28
car143 	6114209.51	603820.06	WI	2011-02-28 09:00:00	Bullmoose	420	749.8	BM	2010	2011-02-28
car143 	6114154.62	603853.21	WI	2011-02-28 16:00:00	Bullmoose	420	659	BM	2010	2011-02-28
car143 	6113450.27	604201.13	WI	2011-02-28 23:00:00	Bullmoose	420	160.7	BM	2010	2011-02-28
car143 	6112981.39	605091.9	WI	2011-03-01 06:00:00	Bullmoose	420	51.3	BM	2010	2011-03-01
car143 	6112701.31	605487.43	WI	2011-03-01 12:00:00	Bullmoose	360	445.5	BM	2010	2011-03-01
car143 	6112527.06	605650.96	WI	2011-03-02 10:00:00	Bullmoose	1320	121.5	BM	2010	2011-03-02
car143 	6112495.5	605728.22	WI	2011-03-02 12:00:00	Bullmoose	120	846.2	BM	2010	2011-03-02
car143 	6112528.28	605701.94	WI	2011-03-02 17:00:00	Bullmoose	300	840.7	BM	2010	2011-03-02
car143 	6112495.35	605721.85	WI	2011-03-03 00:00:00	Bullmoose	420	1300.5	BM	2010	2011-03-03
car143 	6113020.18	604848.72	WI	2011-03-03 07:00:00	Bullmoose	420	82	BM	2010	2011-03-03
car143 	6113062.89	604771.22	WI	2011-03-04 04:00:00	Bullmoose	1260	434.7	BM	2010	2011-03-04
car143 	6113074.46	604790.07	WI	2011-03-04 11:00:00	Bullmoose	420	287.2	BM	2010	2011-03-04
car143 	6113117.62	604731.68	WI	2011-03-04 18:00:00	Bullmoose	420	725	BM	2010	2011-03-04
car143 	6113555.64	604421.77	WI	2011-03-05 01:00:00	Bullmoose	420	762.4	BM	2010	2011-03-05
car143 	6113495.07	604212.83	WI	2011-03-05 08:00:00	Bullmoose	420	150.7	BM	2010	2011-03-05
car143 	6113436.01	604067.6	WI	2011-03-05 12:00:00	Bullmoose	240	477.3	BM	2010	2011-03-05
car143 	6113436	604067.6	WI	2011-03-05 15:00:00	Bullmoose	180	594.8	BM	2010	2011-03-05
car143 	6113674.44	604266	WI	2011-03-05 22:00:00	Bullmoose	420	954	BM	2010	2011-03-05
car143 	6113973.22	604188.88	WI	2011-03-06 12:00:00	Bullmoose	840	180.6	BM	2010	2011-03-06
car143 	6113724.4	604022.61	WI	2011-03-06 19:00:00	Bullmoose	420	1689.9	BM	2010	2011-03-06
car143 	6113642.56	604330.49	WI	2011-03-07 02:00:00	Bullmoose	420	134	BM	2010	2011-03-07
car143 	6113684.97	604240.25	WI	2011-03-07 09:00:00	Bullmoose	420	185.2	BM	2010	2011-03-07
car143 	6113145.19	603532.54	WI	2011-03-07 12:00:00	Bullmoose	180	385.8	BM	2010	2011-03-07
car143 	6113739.41	604187.98	WI	2011-03-07 16:00:00	Bullmoose	240	422.5	BM	2010	2011-03-07
car143 	6113549.17	603669.75	WI	2011-03-07 23:02:00	Bullmoose	422	105	BM	2010	2011-03-07
car143 	6113134.07	603532.8	WI	2011-03-08 06:00:00	Bullmoose	418	1047.7	BM	2010	2011-03-08
car143 	6113617.27	603247.46	WI	2011-03-08 12:00:00	Bullmoose	360	1131.3	BM	2010	2011-03-08
car143 	6113733.31	602970.68	WI	2011-03-08 20:01:00	Bullmoose	481	375.8	BM	2010	2011-03-08
car143 	6113592.04	603598.63	WI	2011-03-09 03:01:00	Bullmoose	420	1063.7	BM	2010	2011-03-09
car143 	6113547.09	603580.55	WI	2011-03-09 10:02:00	Bullmoose	421	529.1	BM	2010	2011-03-09
car143 	6113757.78	604021.83	WI	2011-03-09 12:00:00	Bullmoose	118	1575.6	BM	2010	2011-03-09
car143 	6113955.38	603902.48	WI	2011-03-10 14:00:00	Bullmoose	1560	1103.7	BM	2010	2011-03-10
car143 	6114170.21	604044.05	WI	2011-03-10 21:01:00	Bullmoose	421	573.2	BM	2010	2011-03-10
car143 	6113953.95	604316.81	WI	2011-03-11 11:01:00	Bullmoose	840	1341.8	BM	2010	2011-03-11
car143 	6114144.98	603917.17	WI	2011-03-11 18:00:00	Bullmoose	419	845.2	BM	2010	2011-03-11
car143 	6114143.79	603866.21	WI	2011-03-12 01:01:00	Bullmoose	421	96.9	BM	2010	2011-03-12
car143 	6113789.37	603944.6	WI	2011-03-12 08:01:00	Bullmoose	420	976.8	BM	2010	2011-03-12
car143 	6113647.71	604075.4	WI	2011-03-12 15:01:00	Bullmoose	420	345.3	BM	2010	2011-03-12
car143 	6113890.11	603967.74	WI	2011-03-12 22:02:00	Bullmoose	421	1173.9	BM	2010	2011-03-12
car143 	6113822.75	603943.82	WI	2011-03-13 12:00:00	Bullmoose	838	1121.7	BM	2010	2011-03-13
car143 	6113868.6	604000.11	WI	2011-03-13 19:00:00	Bullmoose	420	155.1	BM	2010	2011-03-13
car143 	6113148.15	604609.83	WI	2011-03-14 02:00:00	Bullmoose	420	928.7	BM	2010	2011-03-14
car143 	6113181.23	604596.31	WI	2011-03-14 09:00:00	Bullmoose	420	1413.5	BM	2010	2011-03-14
car143 	6112985.6	604798.54	WI	2011-03-14 16:00:00	Bullmoose	420	698.2	BM	2010	2011-03-14
car143 	6113310.85	604427.51	WI	2011-03-14 23:00:00	Bullmoose	420	444.5	BM	2010	2011-03-14
car143 	6113558.1	604052	WI	2011-03-15 06:00:00	Bullmoose	420	1249.4	BM	2010	2011-03-15
car143 	6113602.9	604063.7	WI	2011-03-15 13:00:00	Bullmoose	420	2125.1	BM	2010	2011-03-15
car143 	6113893.84	604127	WI	2011-03-15 20:00:00	Bullmoose	420	1207.4	BM	2010	2011-03-15
car143 	6113556.24	604447.25	WI	2011-03-16 03:00:00	Bullmoose	420	2320.2	BM	2010	2011-03-16
car143 	6113419.81	603851.25	WI	2011-03-16 10:00:00	Bullmoose	420	1135.7	BM	2010	2011-03-16
car143 	6113193.26	603684.42	WI	2011-03-16 17:00:00	Bullmoose	420	1399.5	BM	2010	2011-03-16
car143 	6112195.88	603879.83	WI	2011-03-17 00:00:00	Bullmoose	420	379.3	BM	2010	2011-03-17
car143 	6113047.92	604134.06	WI	2011-03-17 07:00:00	Bullmoose	420	435.4	BM	2010	2011-03-17
car143 	6112873.42	603813	WI	2011-03-17 14:01:00	Bullmoose	421	209.9	BM	2010	2011-03-17
car143 	6112559.2	603227.4	WI	2011-03-17 21:00:00	Bullmoose	419	437.8	BM	2010	2011-03-17
car143 	6112646.14	603136.12	WI	2011-03-18 04:00:00	Bullmoose	420	1173.6	BM	2010	2011-03-18
car143 	6113245.5	603058.48	WI	2011-03-19 01:00:00	Bullmoose	1260	1059.6	BM	2010	2011-03-19
car143 	6113666.4	602965.86	WI	2011-03-19 08:00:00	Bullmoose	420	1889.9	BM	2010	2011-03-19
car143 	6113245.51	603058.48	WI	2011-03-19 12:00:00	Bullmoose	240	442.3	BM	2010	2011-03-19
car143 	6113678.56	603010.2	WI	2011-03-19 15:00:00	Bullmoose	180	188.7	BM	2010	2011-03-19
car143 	6113579.45	603057.11	WI	2011-03-19 22:00:00	Bullmoose	420	261.6	BM	2010	2011-03-19
