AnimalID	N	E	season	timestamp	areatag	lag	step	SA	YearSeas	date
car140 	6090966.86	605335.96	RU	01/09/11 0:00	Roman	420	202	TR	2011	01/09/11
car140 	6090830.63	605223.84	RU	01/09/11 7:00	Roman	420	206	TR	2011	01/09/11
car140 	6090788.24	605314.53	RU	01/09/11 14:00	Roman	420	294.6	TR	2011	01/09/11
car140 	6090451.29	605187.89	RU	01/09/11 21:01	Roman	421	221.9	TR	2011	01/09/11
car140 	6090282.59	605114.96	RU	02/09/11 4:00	Roman	419	183.4	TR	2011	02/09/11
car140 	6090275.83	605300.94	RU	02/09/11 11:00	Roman	420	88.8	TR	2011	02/09/11
car140 	6090574.82	604281.57	RU	02/09/11 18:00	Roman	420	45	TR	2011	02/09/11
car140 	6091255.76	604361.82	RU	03/09/11 1:00	Roman	420	83.7	TR	2011	03/09/11
car140 	6090746.19	604469.79	RU	03/09/11 8:00	Roman	420	219.1	TR	2011	03/09/11
car140 	6090727.37	604617.59	RU	03/09/11 12:00	Roman	240	129.9	TR	2011	03/09/11
car140 	6090716.25	604617.85	RU	03/09/11 15:00	Roman	180	195.4	TR	2011	03/09/11
car140 	6090856.7	605857.51	RU	03/09/11 22:00	Roman	420	215.8	TR	2011	03/09/11
car140 	6090799.36	605314.27	RU	04/09/11 5:00	Roman	420	140.9	TR	2011	04/09/11
car140 	6090698.77	605297.41	RU	04/09/11 12:00	Roman	420	35.8	TR	2011	04/09/11
car140 	6089782.27	602742.8	RU	04/09/11 19:02	Roman	422	118.9	TR	2011	04/09/11
car140 	6088591.17	602744.47	RU	05/09/11 2:00	Roman	418	171	TR	2011	05/09/11
car140 	6089082.49	602810.12	RU	05/09/11 9:00	Roman	420	134.8	TR	2011	05/09/11
car140 	6088709.6	602568.69	RU	05/09/11 16:00	Roman	420	1525.2	TR	2011	05/09/11
car140 	6089740.97	602397.71	RU	05/09/11 23:01	Roman	421	279.8	TR	2011	05/09/11
car140 	6089226.46	603261.86	RU	06/09/11 6:00	Roman	419	133.8	TR	2011	06/09/11
car140 	6089203.77	603243.15	RU	06/09/11 13:00	Roman	420	737	TR	2011	06/09/11
car140 	6089786.39	602922.14	RU	06/09/11 20:02	Roman	422	660.4	TR	2011	06/09/11
car140 	6089639.46	603310.02	RU	07/09/11 3:00	Roman	418	691.8	TR	2011	07/09/11
car140 	6089547.21	603171.16	RU	07/09/11 10:00	Roman	420	302.9	TR	2011	07/09/11
car140 	6089320.31	601522.9	RU	07/09/11 17:00	Roman	420	105.5	TR	2011	07/09/11
car140 	6088854.45	600610.5	RU	08/09/11 0:01	Roman	421	529.7	TR	2011	08/09/11
car140 	6088153.9	601139.05	RU	08/09/11 7:00	Roman	419	250.6	TR	2011	08/09/11
car140 	6087804.95	601461.05	RU	08/09/11 14:00	Roman	420	201.4	TR	2011	08/09/11
car140 	6087919.53	601112.28	RU	09/09/11 4:00	Roman	840	145.3	TR	2011	09/09/11
car140 	6087974.15	601066.17	RU	09/09/11 11:00	Roman	420	200.7	TR	2011	09/09/11
car140 	6088783.78	601426.09	RU	09/09/11 18:00	Roman	420	312.1	TR	2011	09/09/11
car140 	6088568.08	601732.23	RU	10/09/11 1:00	Roman	420	191.9	TR	2011	10/09/11
car140 	6088391.46	601306.76	RU	10/09/11 8:00	Roman	420	206.8	TR	2011	10/09/11
car140 	6088698.66	601107.53	RU	10/09/11 15:00	Roman	420	33.9	TR	2011	10/09/11
car140 	6088783.64	601419.68	RU	10/09/11 22:00	Roman	420	40	TR	2011	10/09/11
car140 	6088709.93	601113.69	RU	11/09/11 5:00	Roman	420	40	TR	2011	11/09/11
car140 	6088723.37	601215.94	RU	11/09/11 12:00	Roman	420	23.2	TR	2011	11/09/11
car140 	6087069.93	602426.66	RU	11/09/11 19:00	Roman	420	32	TR	2011	11/09/11
car140 	6089694.65	603289.52	RU	12/09/11 2:01	Roman	421	4872.2	TR	2011	12/09/11
car140 	6089457.46	603141.18	RU	12/09/11 9:00	Roman	419	33.9	TR	2011	12/09/11
car140 	6090714.83	603599.17	RU	12/09/11 16:00	Roman	420	179.8	TR	2011	12/09/11
car140 	6090770.46	602630.46	RU	12/09/11 23:01	Roman	421	3178.9	TR	2011	12/09/11
car140 	6090433.31	604419.42	RU	13/09/11 6:00	Roman	419	3142	TR	2011	13/09/11
car140 	6090464.07	605258.07	RU	13/09/11 13:00	Roman	420	705.6	TR	2011	13/09/11
car140 	6091089.44	605813.57	RU	13/09/11 20:00	Roman	420	741.2	TR	2011	13/09/11
car140 	6090472.49	605142.54	RU	14/09/11 3:00	Roman	420	880.1	TR	2011	14/09/11
car140 	6090328.77	604710.2	RU	14/09/11 10:00	Roman	420	4891.3	TR	2011	14/09/11
car140 	6091015.65	605988.29	RU	14/09/11 12:00	Roman	120	712.1	TR	2011	14/09/11
car140 	6090719.94	606193.91	RU	15/09/11 0:01	Roman	721	1887.8	TR	2011	15/09/11
car140 	6090599.69	605344.59	RU	15/09/11 7:00	Roman	419	58.7	TR	2011	15/09/11
car140 	6090001.13	604980.58	RU	15/09/11 14:00	Roman	420	34	TR	2011	15/09/11
car140 	6089397.2	605808.67	RU	15/09/11 21:00	Roman	420	34	TR	2011	15/09/11
car140 	6089169.07	605102.62	RU	16/09/11 4:00	Roman	420	33.4	TR	2011	16/09/11
car140 	6089512.34	605498.33	RU	16/09/11 11:00	Roman	420	623.3	TR	2011	16/09/11
car140 	6090472.37	604661.99	RU	16/09/11 18:00	Roman	420	16379.5	TR	2011	16/09/11
car140 	6090760.6	604610.41	RU	17/09/11 1:00	Roman	420	425.7	TR	2011	17/09/11
car140 	6090889.04	604389.58	RU	17/09/11 8:00	Roman	420	425.7	TR	2011	17/09/11
car140 	6090835.2	604467.72	RU	17/09/11 15:00	Roman	420	465.5	TR	2011	17/09/11
car140 	6090811.15	604391.4	RU	17/09/11 22:00	Roman	420	177.9	TR	2011	17/09/11
car140 	6090857.6	604473.6	RU	18/09/11 5:00	Roman	420	89.9	TR	2011	18/09/11
car140 	6090890.08	604434.4	RU	18/09/11 12:00	Roman	420	445.8	TR	2011	18/09/11
car140 	6090395.53	604708.64	RU	18/09/11 19:00	Roman	420	904.2	TR	2011	18/09/11
car140 	6090927.58	604132.41	RU	19/09/11 2:01	Roman	421	142	TR	2011	19/09/11
car140 	6090372.29	603709.61	RU	19/09/11 9:00	Roman	419	142	TR	2011	19/09/11
car140 	6091018.23	604200.78	RU	19/09/11 16:00	Roman	420	29.4	TR	2011	19/09/11
car140 	6090968.37	603971.3	RU	19/09/11 23:00	Roman	420	2318.5	TR	2011	19/09/11
car140 	6090238.42	604654.64	RU	20/09/11 6:00	Roman	420	637.3	TR	2011	20/09/11
car140 	6090236.02	604552.17	RU	20/09/11 13:00	Roman	420	170	TR	2011	20/09/11
car140 	6089678.76	604046.08	RU	20/09/11 20:00	Roman	420	64.3	TR	2011	20/09/11
car140 	6091049.08	604091.15	RU	21/09/11 3:00	Roman	420	68	TR	2011	21/09/11
car140 	6089865.53	603939.22	RU	21/09/11 10:00	Roman	420	1848.7	TR	2011	21/09/11
car140 	6090583.99	603717.53	RU	21/09/11 17:00	Roman	420	405.8	TR	2011	21/09/11
